entity,entity_label,relation,relation_label,value,value_label,frequency,start_time,end_time
Q106821191,Kurt Löwidt,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1943-01-19
Q138373676,Ole Bernhard Iversen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-01-16,1942-01-18
Q138373805,Joachim Jahnsen,P2632,place of detention,Q140459535,Hell,A-Few-Days,1944-08-04,1944-11-01
Q139647672,Karl Ivar Arktander Strand,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1943-08-22,1943-12-08
Q1586167,Harriman Alaska Expedition,P2825,via,Q204387,Kodiak Island,A-Few-Days,1899-07-01,1899-07-04
Q138607158,Joseph Raskow,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1943-03-01
Q138371495,Emil Hansen,P2632,place of detention,Q140459335,Mosjøen,A-Few-Days,1944-09-09,1944-09-11
Q138378733,Edgar Johan Mathisen,P2632,place of detention,Q140459661,Midtsand,A-Few-Days,1945-02-26,1945-03-11
Q138365016,Johan Bjørshol,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Days,1944-10-06,1944-10-07
Q139645787,Johannes Steine,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-08-03,1942-08-06
Q125501029,Robert Reiss,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1943-03-03,1943-03-03
Q138380822,Sigfred Malvin Lien,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1944-11-28,1945-02-22
Q138369746,Gøsta Erland Alexander Frithioff,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Days,1942-04-15,1942-04-17
Q139638783,Johan Larsen,P2632,place of detention,Q140459616,Ålesund kretsfengsel,A-Few-Days,1943-08-16,1943-08-17
Q138361328,Moses Martin Bergmann,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1943-01-11
Q138697342,Henrik Gettler,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1942-10-26,1943-02-24
Q138359356,Aron Miche Mendelsohn,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q139655004,Leif Schanche,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1944-02-06,1944-03-06
Q138360588,Tanchum Arsch,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1942-12-01
Q138694598,Josef Grabowski,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q48753514,The Art of Crime,P915,filming location,Q1787799,rue Saint-Honoré,A-Few-Days,2016-07-12,2016-07-12
Q139638895,Nils Matias Hammer,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1943-12-09,1943-12-11
Q138607731,Judith Fischer,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-12-02,1943-02-24
Q139651477,Arne Sørensen,P2632,place of detention,Q140458846,Haugesund fengsel,A-Few-Days,1945-03-06,1945-03-07
Q139648552,Roald Georg Olsen,P2632,place of detention,Q140459728,Trondheim kretsfengsel avd. B (Munkegata 16),A-Few-Days,1942-08-04,1942-08-05
Q139644212,Leif Ødegård,P2632,place of detention,Q140459535,Hell,A-Few-Days,1945-01-18,1945-02-14
Q139643630,Bjarne Wiklem,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1945-02-21,1945-03-29
Q139636318,Theodor Angel Nylund,P2632,place of detention,Q3654674,Sydspissen concentration camp,A-Few-Days,1941-10-15,1942-02-17
Q138360980,Mina Becker,P2632,place of detention,Q28717972,MS Gotenland,A-Few-Days,1943-02-25,1943-02-27
Q138359424,Charles Efraim Rosenberg,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-11-26,1943-02-24
Q138377952,Mikal Nilsen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1943-05-04,1944-08-06
Q139647794,Jeremias Vangstad,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Days,1943-01-23,1943-01-29
Q138606783,Leonhard Ornstein,P2632,place of detention,Q28717972,MS Gotenland,A-Few-Days,1943-02-25,1943-02-27
Q138607226,Moritz Steinsapir,P2632,place of detention,Q140459443,Berg,A-Few-Days,1942-10-28,1942-11-26
Q138362031,Olav Aarøe,P2632,place of detention,Q140459760,Åsen,A-Few-Days,1944-06-07,1945-01-27
Q138606803,Felix Silber,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138695500,Einar Lund,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-12-11,1942-12-12
Q138607683,Frida Sachnowitz,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q139649533,Oddvar Lunderød,P2632,place of detention,Q140458872,Arendal hjelpefengsel,A-Few-Days,1944-11-02,1944-11-04
Q139638233,Valborg Iversen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1943-07-08,1943-07-18
Q26771377,Erik Otto Seligmann,P2632,place of detention,Q140459443,Berg,A-Few-Days,1942-10-28,1942-11-26
Q138606838,Karoline Trebitsch,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1943-03-03,1943-03-03
Q139650698,Olav Ravndal,P2632,place of detention,Q140459747,Stavanger kretsfengsel avd. A (Lagårdsveien 43),A-Few-Days,1943-08-16,1943-08-18
Q138695510,Robert Kermann,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138606855,Rakel Glick,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q139634228,Bernhard Solaas,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-07-10,1942-07-18
Q139640161,Stein Ingvar Torkildsen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Few-Days,1941-12-02,1941-12-28
Q138606910,Leopold Wulf Reiff,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138607183,Paul Israel Spielmann,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1943-02-04
Q139629552,Thomas Olsvik,P2632,place of detention,Q2217762,Falstad concentration camp,A-Few-Days,1944-06-07,1944-08-10
Q138368443,Odd Erichsen,P2632,place of detention,Q140459441,Møllergata 19,A-Few-Days,1945-02-20,
Q138687059,Abraham Bernhard Mahler,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q119238334,Second Kolarov Government,P6,head of government,Q460416,Valko Chervenkov,A-Few-Days,1950-02-01,1954-01-20
Q139645783,Fredrik Frøshaug,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-08-03,1942-08-06
Q139649446,Ole Olsen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Few-Days,1944-02-17,1944-01-24
Q138359487,Erling Syvertsen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1944-05-25,1944-09-06
Q138606819,Rosa Shotland,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-12-02,1943-02-24
Q138607268,Harry Wulff,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-10-26,1942-10-28
Q26975,Berthold Epstein,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-10-26,1942-10-28
Q138692869,Heimann David Gedanken,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-10-26,1942-10-28
Q138359407,Esther Rosa Philipsohn,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1943-02-23,1943-02-24
Q25430444,Harry Braude,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,
Q139640809,Øystein O. Grov,P2632,place of detention,Q140459506,Ulven,A-Few-Days,1941-05-28,1941-07-06
Q139641760,Kaare Glømmen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1942-03-30,1942-03-31
Q138607738,Harry Samuel Isaksen,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1943-03-03,1943-03-03
Q138687039,Salomon Lurje,P2632,place of detention,Q28717972,MS Gotenland,A-Few-Days,1943-02-25,1943-02-27
Q138361038,Hildur Emilie Iversen Belsbye,P2632,place of detention,Q140459434,Tyskland,A-Few-Days,1942-10-11,
Q138607024,Abel Reiff,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138607207,Bernhard Jonny Gordon,P2632,place of detention,Q140459443,Berg,A-Few-Days,1942-10-28,1942-11-26
Q138369595,Alf  Fossdal,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1943-11-11,1943-11-18
Q131825072,Oxford University Expedition to British Guiana,P2825,via,Q10717,Georgetown,A-Few-Days,1929-08-05,1929-08-10
Q138606786,Frida Hirsch,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q139639036,Johan Bergesen Hjelmeland,P2632,place of detention,Q140459616,Ålesund kretsfengsel,A-Few-Days,1943-12-02,1943-12-14
Q138607114,Klara Gurewitz,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-11-26,1943-02-24
Q138373804,Jens Olai Jahnsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Days,1944-07-29,1944-08-04
Q139646210,Frank Alfred Hagen,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1945-04-07,1945-05-08
Q139645788,Reidar Øsleby,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-08-03,1942-08-06
Q138606823,Flora Leventhal,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1943-03-03,1943-03-03
Q139658645,Anny Hareland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1944-02-03,1944-02-03
Q138607423,Meilach Julius Scharff,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1942-12-01,1943-01-14
Q138606936,Nathan Reichmann,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138607006,Rösi Fein,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Few-Days,1942-11-26,1942-11-26
Q138377632,Erling Loktu,P2632,place of detention,Q140458962,Kastbrekka,A-Few-Days,1944-07-05,1944-07-12
Q138606818,Awschey Iskin,P2632,place of detention,Q140459443,Berg,A-Few-Days,1942-10-28,1942-11-26
Q138607469,Bernhard Krupp,P2632,place of detention,Q7393493,SS Donau,A-Few-Days,1942-11-26,1942-11-30
Q138607291,Robert Rubin Steinsapir,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-10-26,1942-10-28
Q17120088,Ole Fredrik Olden,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1941-06-20,1941-12-24
Q138710075,William Samersav,P2632,place of detention,Q15204401,Bredtveit prison,A-Few-Days,1942-10-26,1942-10-28
Q138360983,Ida Becker,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,A-Few-Days,1943-02-28,1943-03-02
Q138362491,Kjell Amland,P2632,place of detention,Q637411,Grini detention camp,A-Few-Days,1945-02-20,1945-05-08
Q116171719,Hans Jellinek,P2632,place of detention,Q140459443,Berg,A-Few-Days,1942-10-28,1942-11-26
Q139645321,Edvin Oskar Rikstad,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Days,1944-07-03,1944-07-05
Q138606825,Ida Weiner,P2632,place of detention,Q140459458,Auschwitz,A-Few-Days,1943-03-03,1943-03-03
Q99539212,Neon Abyss,P3156,Australian Classification,Q26708078,MA 15+,A-Few-Days,2020-04-09,2020-04-16
Q139637768,Peder Olaf Geving,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Few-Days,1943-01-23,1943-01-29
Q139638737,Ingolf Bjarne Lien,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Few-Days,1943-10-27,1943-10-29
Q138373568,Johan H. Fauske,P2632,place of detention,Q140459616,Ålesund kretsfengsel,A-Few-Days,1942-08-12,1942-09-10
Q139630663,Noberg Johan Skaar,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Few-Days,1943-04-07,1943-04-09
Q139637170,Agnar Arnold Aune,P2632,place of detention,Q637411,Grini detention camp,A-Week,1944-09-22,1944-10-26
Q138372349,Enok Hestad,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Week,1944-04-04,1944-04-25
Q139647075,Knut Kjell Tollefsen,P2632,place of detention,Q140459599,Rjukan hjelpefengsel,A-Week,1942-05-06,1942-05-08
Q138366131,Anton Dahl,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1943-11-16,1943-12-08
Q139649002,Liv Wold,P2632,place of detention,Q140459728,Trondheim kretsfengsel avd. B (Munkegata 16),A-Week,1944-03-18,1944-03-18
Q138374669,Kåre Leonard Jørgensen,P2632,place of detention,Q140459441,Møllergata 19,A-Week,1941-11-17,1941-12-04
Q139646580,Mikkjel Andersson Hovland Eskeland,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1942-03-21,1942-03-29
Q139646644,Torkel Stuve,P2632,place of detention,Q637411,Grini detention camp,A-Week,1942-03-30,1942-03-31
Q138371854,Johnny Ferdinand Haugen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,A-Week,1944-02-24,1944-02-26
Q139644044,Erik Thoresen Gaupås,P2632,place of detention,Q140459418,Kirkenes,A-Week,1942-04-11,1944-11-21
Q138372508,Harald Hognestad,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Week,1941-09-17,1941-09-25
Q138369585,Olaf  Beintsen Foss,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Week,1943-02-04,1943-02-14
Q139648267,Ludvig Oppedal,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1943-01-04,1943-01-22
Q139637834,Willy Gotås,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Week,1942-08-26,1942-08-29
Q139641015,Kaare Birkeland,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Week,1941-10-22,1941-11-01
Q138372600,Emil Anders Holmesland,P2632,place of detention,Q140459418,Kirkenes,A-Week,1942-03-25,1942-11-04
Q110860320,Dorpsbelang Eemnes,P1410,number of seats in assembly,3.0,3.0,A-Week,2009-02-23,2010-03-15
Q138028870,Arirang World Tour,P276,location,Q3503735,Sun Bowl Stadium,A-Week,2026-05-02,2026-05-03
Q139625079,Sigrid Strand,P2632,place of detention,Q140458872,Arendal hjelpefengsel,A-Week,1943-12-03,1943-12-04
Q139653393,Adrien Dreville,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-12-13,1944-12-20
Q139656054,Trygve Johannes Grødem,P2632,place of detention,Q637411,Grini detention camp,A-Week,1943-06-04,1943-09-30
Q138369325,Viktor Fischer,P2632,place of detention,Q15204401,Bredtveit prison,A-Week,1942-11-26,1942-12-10
Q138359519,Magnus Tuntland,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1942-02-25,1942-03-13
Q139629116,Louise Olea Taftesund,P2632,place of detention,Q140458875,Molde kretsfengsel,A-Week,1944-12-04,1944-12-05
Q670891,1927 World Figure Skating Championships,P276,location,Q1741,Vienna,A-Week,1927-02-22,1927-02-23
Q138371757,Solveig Azora Haraldsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1945-02-08,1945-02-22
Q139631361,Henry Olsen,P2632,place of detention,Q140459419,Bardufoss,A-Week,1944-06-09,
Q138380629,Rolf Aas Mostad,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-11-07,1944-11-28
Q138374442,Herlof Jarl Johnsen,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1943-04-19,1944-07-25
Q139645609,Adler Gleditsch,P2632,place of detention,Q140459506,Ulven,A-Week,1942-07-25,1942-08-03
Q138361891,Moritz Charles Blumenfeld,P2632,place of detention,Q637411,Grini detention camp,A-Week,1942-11-11,1944-02-16
Q139647550,Olav H. Sørgård,P2632,place of detention,Q140459335,Mosjøen,A-Week,1945-03-01,1945-03-10
Q131933143,Citizens' Party,P1410,number of seats in assembly,3.0,3.0,A-Week,2026-03-28,2026-04-04
Q5653955,Harald Selås,P2632,place of detention,Q637411,Grini detention camp,A-Week,1945-01-24,1945-02-07
Q138368970,Johan Evensen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Week,1942-12-01,1942-12-04
Q138376259,Aksel Leonard Lande,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1945-01-31,1945-02-03
Q139641618,Olaf Bernhard Dolles,P2632,place of detention,Q637411,Grini detention camp,A-Week,1945-03-01,1945-05-08
Q139641013,Oskar Pettersen Binderø,P2632,place of detention,Q637411,Grini detention camp,A-Week,1945-02-24,1945-05-08
Q138359426,Justin Angell Rødås,P2632,place of detention,Q140458868,Bodø kretsfengsel,A-Week,1943-01-30,1943-02-13
Q139638131,Johan Karlsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1943-09-24,1943-09-25
Q139647757,Johan Wesselvold,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1942-09-23,1942-10-02
Q139644898,Eero Johannes Tanttari,P2632,place of detention,Q138390853,Tromsø kretsfengsel,A-Week,1941-05-31,1941-06-07
Q138369090,Even Asbjørn  Evensen,P2632,place of detention,Q140459461,Eidsberg,A-Week,1942-03-22,1942-03-26
Q6371943,Karl Fjermeros,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1942-03-20,1942-03-29
Q139639909,Martin Sterri,P2632,place of detention,Q15204401,Bredtveit prison,A-Week,1944-01-28,1944-02-08
Q138369787,Gustav Frøberg,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Week,1944-09-14,1944-09-18
Q139646389,Erik Svensson,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Week,1942-04-01,1942-04-09
Q139658221,Ingvald Eugen Josefsen,P2632,place of detention,Q140458819,Fredrikstad fengsel,A-Week,1943-07-06,1943-07-12
Q138375851,Ingvald Ingebrigtsen,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,A-Week,1944-01-05,1944-01-12
Q537983,Harvest,P2291,charted in,Q719415,UK Albums Chart,A-Week,1972-03-05,1972-03-11
Q139658367,Håkon Stebekk,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1944-07-03,1944-07-22
Q139652463,Franz Kuciarski,P2632,place of detention,Q637411,Grini detention camp,A-Week,1944-08-11,1945-05-08
Q139634108,Reidun Langerud,P2632,place of detention,Q140458874,Farsund hjelpefengsel,A-Week,1942-03-26,1942-03-28
Q138607383,Bendix Birkeland,P2632,place of detention,Q637411,Grini detention camp,A-Week,1943-02-15,1943-06-10
Q139657097,Gunnar Gundersen,P2632,place of detention,Q140459441,Møllergata 19,A-Week,1942-12-29,1943-04-07
Q139651558,Jean Willmotte,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1943-01-19,1943-02-06
Q115033705,USCX Cyclocross Series 2022-2023,P276,location,Q501796,Roanoke,A-Week,2022-09-17,2022-09-18
Q139629802,Magnar Norheim Pettersen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-05-18,1944-05-29
Q139651995,Ivan Sjtanov,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Week,1944-05-30,1944-05-31
Q138373957,Yngvar Charles Marentius Jensen,P2632,place of detention,Q140459441,Møllergata 19,A-Week,1942-04-30,1942-05-21
Q138376399,Berner Langeland,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Week,1944-09-09,
Q138368919,Gabriel Espegren,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),A-Week,1943-08-27,1943-08-27
Q139641028,Einar Eriksen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Week,1942-01-24,1942-02-25
Q139642031,John Arnesen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1942-08-23,1942-08-31
Q139651417,František Lněnička,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-07-29,1944-08-28
Q138365671,Bjarne Hole Christophersen,P2632,place of detention,Q140459468,Jørstadmoen,A-Week,1942-04-01,1942-04-10
Q139639202,Sigurd Østevold,P2632,place of detention,Q637411,Grini detention camp,A-Week,1942-02-01,1942-02-05
Q139640265,Mary Petrine Nygaard,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),A-Week,1942-12-21,1942-12-28
Q139642723,Ingolf Alf Johnsen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Week,1945-01-27,1945-02-14
Q138376631,Johan Moan,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-02-10,1944-02-19
Q138372434,Hartmuth Ludvig Hoddø,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Week,1944-01-21,1944-01-29
Q139653092,Jacques Vauthier,P2632,place of detention,Q140459535,Hell,A-Week,1944-08-11,1944-09-20
Q138372480,Ingeborg Angell Hoff,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1944-04-18,1945-05-08
Q138607105,Markus Moses Hurwitz,P2632,place of detention,Q28717972,MS Gotenland,A-Week,1943-02-25,1943-02-27
Q139653398,Jules Louis Mathon,P2632,place of detention,Q637411,Grini detention camp,A-Week,1944-09-22,1945-05-08
Q110860274,BurgerBelangen Overbetuwe,P1410,number of seats in assembly,1.0,1.0,A-Week,2014-06-04,2018-05-08
Q138372501,Martin Teodor Hofstad,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),A-Week,1943-08-12,1943-09-07
Q138372696,Øistein Olav Homnes,P2632,place of detention,Q637411,Grini detention camp,A-Week,1943-02-25,1943-06-28
Q138362379,Olav P. Aftret,P2632,place of detention,Q637411,Grini detention camp,A-Week,1944-09-22,
Q138361987,Trygve Aarstad,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1943-12-09,1943-03-14
Q47490013,Øystein Bottolfsen,P2632,place of detention,Q140459370,Åneby,A-Week,1941-03-30,1941-04-03
Q139652444,Klemens Hermacinski,P2632,place of detention,Q637411,Grini detention camp,A-Week,1944-08-11,1945-05-08
Q139637131,Elias Alnes,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),A-Week,1944-07-10,1944-09-11
Q138367072,Ole Bull,P2632,place of detention,Q140458828,Hammerfest hjelpefengsel,A-Week,1944-04-20,1944-05-09
Q138368088,Gunvor Eliassen,P2632,place of detention,Q140458839,Mo hjelpefengsel,A-Week,1943-07-07,1943-07-08
Q138380843,Solveig Rigmor Nilsen,P2632,place of detention,Q140459728,Trondheim kretsfengsel avd. B (Munkegata 16),A-Week,1943-11-10,1943-11-10
Q138376691,Magne Alfred Einar Larsen,P2632,place of detention,Q140459491,Bergen kretsfengsel,A-Week,1945-02-14,1945-02-22
Q138361988,Kaare Lund Aarstrand,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1944-09-10,1944-09-19
Q138374727,Johan Andreas Kallevig,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,A-Week,1944-04-03,1944-04-20
Q138374794,Owe Kristoffer Karlsen,P2632,place of detention,Q140458868,Bodø kretsfengsel,A-Week,1944-09-12,1944-09-12
Q139644512,Birger Alexandersen Strand,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1944-09-11,1944-09-24
Q138363434,Asbjørn Albert Askengren,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1942-08-06,1942-10-10
Q139636857,Matias Monsen Midttveit Skålevik,P2632,place of detention,Q140459330,"Sandviken skole, Bergen",A-Week,1942-04-30,1942-05-16
Q139638229,Kaspar Iversen,P2632,place of detention,Q140458773,Værnes,A-Week,1944-04-22,1944-05-03
Q138377121,Hans Munthe-Kaas,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",A-Week,1941-05-01,1941-05-04
Q139652041,Leszek Janusz Orłowski,P2632,place of detention,Q2217762,Falstad concentration camp,A-Week,1944-09-10,1944-09-20
Q88563037,2020 Fresno shelter-in-place order,P582,end time,2020-03-31T00:00:00Z,2020-03-31T00:00:00Z,A-Week,2020-03-19,2020-03-26
