entity,relation,value,frequency,start_time,end_time
Q138606936,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138607006,P2632,Q140458793,A-Few-Days,1942-11-26,1942-11-26
Q138377632,P2632,Q140458962,A-Few-Days,1944-07-05,1944-07-12
Q138606818,P2632,Q140459443,A-Few-Days,1942-10-28,1942-11-26
Q138607469,P2632,Q7393493,A-Few-Days,1942-11-26,1942-11-30
Q138607291,P2632,Q15204401,A-Few-Days,1942-10-26,1942-10-28
Q17120088,P2632,Q637411,A-Few-Days,1941-06-20,1941-12-24
Q138710075,P2632,Q15204401,A-Few-Days,1942-10-26,1942-10-28
Q138360983,P2632,Q21899380,A-Few-Days,1943-02-28,1943-03-02
Q138362491,P2632,Q637411,A-Few-Days,1945-02-20,1945-05-08
Q116171719,P2632,Q140459443,A-Few-Days,1942-10-28,1942-11-26
Q139645321,P2632,Q140459448,A-Few-Days,1944-07-03,1944-07-05
Q138606825,P2632,Q140459458,A-Few-Days,1943-03-03,1943-03-03
Q99539212,P3156,Q26708078,A-Few-Days,2020-04-09,2020-04-16
Q139637768,P2632,Q140459448,A-Few-Days,1943-01-23,1943-01-29
Q139638737,P2632,Q140459146,A-Few-Days,1943-10-27,1943-10-29
Q138373568,P2632,Q140459616,A-Few-Days,1942-08-12,1942-09-10
Q139630663,P2632,Q140459491,A-Few-Days,1943-04-07,1943-04-09
Q139637170,P2632,Q637411,A-Week,1944-09-22,1944-10-26
Q138372349,P2632,Q140459748,A-Week,1944-04-04,1944-04-25
Q139647075,P2632,Q140459599,A-Week,1942-05-06,1942-05-08
Q138366131,P2632,Q140458793,A-Week,1943-11-16,1943-12-08
Q139649002,P2632,Q140459728,A-Week,1944-03-18,1944-03-18
Q138374669,P2632,Q140459441,A-Week,1941-11-17,1941-12-04
Q139646580,P2632,Q140458793,A-Week,1942-03-21,1942-03-29
Q139646644,P2632,Q637411,A-Week,1942-04-12,1942-04-28
Q138371854,P2632,Q140458872,A-Week,1944-02-24,1944-02-26
Q139644044,P2632,Q140459418,A-Week,1942-04-11,1944-11-21
Q138372508,P2632,Q140459442,A-Week,1941-09-17,1941-09-25
Q138369585,P2632,Q140459748,A-Week,1943-02-04,1943-02-14
Q139648267,P2632,Q140458793,A-Week,1943-01-04,1943-01-22
Q139637834,P2632,Q140459146,A-Week,1942-08-26,1942-08-29
Q139641015,P2632,Q140459442,A-Week,1941-10-22,1941-11-01
Q138372600,P2632,Q140459418,A-Week,1942-03-25,1942-11-04
Q110860320,P1410,3.0,A-Week,2010-04-12,2010-04-12
Q138028870,P276,Q3503735,A-Week,2026-05-02,2026-05-03
Q139625079,P2632,Q140458872,A-Week,1943-12-03,1943-12-04
Q139653393,P2632,Q140459448,A-Week,1944-12-13,1944-12-20
Q139656054,P2632,Q637411,A-Week,1943-06-04,1943-09-30
Q138369325,P2632,Q15204401,A-Week,1942-11-26,1942-12-10
Q138359519,P2632,Q140459448,A-Week,1942-02-25,1942-03-13
Q139629116,P2632,Q140458875,A-Week,1944-12-04,1944-12-05
Q670891,P276,Q1741,A-Week,1927-02-22,1927-02-23
Q138371757,P2632,Q140458793,A-Week,1945-02-24,1945-02-27
Q139631361,P2632,Q140459419,A-Week,1944-06-09,
Q138380629,P2632,Q140459448,A-Week,1944-11-07,1944-11-28
Q138374442,P2632,Q2217762,A-Week,1943-04-19,1944-07-25
Q139645609,P2632,Q140459506,A-Week,1942-07-25,1942-08-03
Q138361891,P2632,Q637411,A-Week,1942-11-11,1944-02-16
Q139647550,P2632,Q140459335,A-Week,1945-03-01,1945-03-10
Q131933143,P1410,3.0,A-Week,2026-03-28,2026-04-04
Q5653955,P2632,Q637411,A-Week,1945-01-24,1945-02-07
Q138368970,P2632,Q140459442,A-Week,1942-12-01,1942-12-04
Q138376259,P2632,Q140459448,A-Week,1945-02-22,1945-03-03
Q139641618,P2632,Q637411,A-Week,1945-03-01,1945-05-08
Q139641013,P2632,Q637411,A-Week,1945-02-24,1945-05-08
Q138359426,P2632,Q140458868,A-Week,1943-01-30,1943-02-13
Q139638131,P2632,Q140459448,A-Week,1943-10-21,1943-12-21
Q139647757,P2632,Q2217762,A-Week,1942-09-23,1942-10-02
Q139644898,P2632,Q138390853,A-Week,1941-05-31,1941-06-07
Q138369090,P2632,Q140459461,A-Week,1942-03-22,1942-03-26
Q6371943,P2632,Q140458793,A-Week,1942-03-20,1942-03-29
Q139639909,P2632,Q15204401,A-Week,1944-01-28,1944-02-08
Q138369787,P2632,Q140459457,A-Week,1944-10-10,1944-11-03
Q139646389,P2632,Q140459442,A-Week,1942-04-01,1942-04-09
Q139658221,P2632,Q140458819,A-Week,1943-07-06,1943-07-12
Q138375851,P2632,Q140458828,A-Week,1944-01-05,1944-01-12
Q537983,P2291,Q719415,A-Week,1972-03-05,1972-03-11
Q139658367,P2632,Q140458793,A-Week,1944-07-03,1944-07-22
Q139652463,P2632,Q637411,A-Week,1944-08-11,1945-05-08
Q139634108,P2632,Q140458874,A-Week,1942-04-16,1942-04-16
Q138607383,P2632,Q637411,A-Week,1943-02-15,1943-06-10
Q139657097,P2632,Q140459441,A-Week,1942-12-29,1943-04-07
Q139651558,P2632,Q140458793,A-Week,1943-01-19,1943-02-06
Q115033705,P276,Q501796,A-Week,2022-09-17,2022-09-18
Q139629802,P2632,Q140459448,A-Week,1944-05-18,1944-05-29
Q139651995,P2632,Q140459748,A-Week,1944-05-30,1944-05-31
Q138373957,P2632,Q140459441,A-Week,1942-04-30,1942-05-21
Q138376399,P2632,Q140459748,A-Week,1944-09-09,
Q138368919,P2632,Q140459748,A-Week,1943-08-27,1943-08-27
Q139641028,P2632,Q140459491,A-Week,1942-01-24,1942-02-25
Q139642031,P2632,Q140459448,A-Week,1942-08-23,1942-08-31
Q139651417,P2632,Q140459448,A-Week,1944-09-05,1944-09-09
Q138365671,P2632,Q140459468,A-Week,1942-04-01,1942-04-10
Q139639202,P2632,Q637411,A-Week,1944-09-14,1945-05-08
Q139640265,P2632,Q140459442,A-Week,1942-12-21,1942-12-28
Q139642723,P2632,Q140459491,A-Week,1945-01-27,1945-02-14
Q138376631,P2632,Q140459448,A-Week,1944-03-04,1944-05-25
Q138372434,P2632,Q140459146,A-Week,1944-01-21,1944-01-29
Q139653092,P2632,Q140459535,A-Week,1944-08-11,1944-09-20
Q138372480,P2632,Q2217762,A-Week,1944-04-18,1945-05-08
Q138607105,P2632,Q28717972,A-Week,1943-02-25,1943-02-27
Q139653398,P2632,Q637411,A-Week,1944-09-22,1945-05-08
Q110860274,P1410,1.0,A-Week,2018-05-22,2018-05-27
Q138372501,P2632,Q140459146,A-Week,1943-08-12,1943-09-07
Q138372696,P2632,Q637411,A-Week,1943-02-25,1943-06-28
Q138362379,P2632,Q637411,A-Week,1944-09-22,
Q138361987,P2632,Q140459448,A-Week,1943-12-09,1943-03-14
Q47490013,P2632,Q140459370,A-Week,1941-03-30,1941-04-03
Q139652444,P2632,Q637411,A-Week,1944-08-11,1945-05-08
Q139637131,P2632,Q140459448,A-Week,1944-07-10,1944-09-11
Q138367072,P2632,Q140458828,A-Week,1944-04-20,1944-05-09
Q138368088,P2632,Q140458839,A-Week,1943-07-07,1943-07-08
Q138380843,P2632,Q140459728,A-Week,1943-11-10,1943-11-10
Q138376691,P2632,Q140459491,A-Week,1945-02-14,1945-02-22
Q138361988,P2632,Q2217762,A-Week,1944-09-10,1944-09-19
Q138374727,P2632,Q140458793,A-Week,1944-04-03,1944-04-20
Q138374794,P2632,Q140458868,A-Week,1944-09-12,1944-09-12
Q139644512,P2632,Q2217762,A-Week,1944-09-11,1944-09-24
Q138363434,P2632,Q2217762,A-Week,1942-08-06,1942-10-10
Q139636857,P2632,Q140459330,A-Week,1942-04-30,1942-05-16
Q139638229,P2632,Q140458773,A-Week,1944-04-22,1944-05-03
Q138377121,P2632,Q140459457,A-Week,1941-05-01,1941-05-04
Q139652041,P2632,Q2217762,A-Week,1944-09-10,1944-09-20
Q88563037,P582,2020-03-31T00:00:00Z,A-Week,2020-03-19,2020-03-26
Q138380626,P2632,Q140459441,A-Week,1944-11-23,
Q89128093,P582,2020-04-20T00:00:00Z,A-Week,2020-04-20,
Q138607563,P2632,Q7393493,A-Week,1942-11-26,1942-11-30
Q110860687,P1410,1.0,A-Few-Weeks,2010-03-14,2010-03-17
Q139648738,P2632,Q140459439,A-Few-Weeks,1942-03-20,1942-03-30
Q138359450,P2632,Q140459458,A-Few-Weeks,1943-03-03,1943-03-03
Q139657466,P2632,Q637411,A-Few-Weeks,1943-04-16,1943-04-18
Q139656396,P2632,Q140459491,A-Few-Weeks,1943-04-13,1943-05-04
Q443777,P39,Q55755578,A-Few-Weeks,1973-08-09,1973-08-23
Q139635750,P2632,Q140459441,A-Few-Weeks,1944-02-05,1944-03-15
Q139641850,P2632,Q2217762,A-Few-Weeks,1942-10-09,1942-11-25
Q138377853,P2632,Q140459342,A-Few-Weeks,1944-08-23,1944-09-13
Q139643263,P2632,Q140459491,A-Few-Weeks,1941-08-12,1941-10-04
Q139652522,P2632,Q140459448,A-Few-Weeks,1944-05-06,1944-05-30
Q138374109,P2632,Q637411,A-Few-Weeks,1944-07-07,1944-08-10
Q28718416,P2632,Q637411,A-Few-Weeks,1942-12-02,1945-05-02
Q138380526,P2632,Q2217762,A-Few-Weeks,1944-09-07,1944-11-02
Q138377176,P2632,Q140459491,A-Few-Weeks,1944-11-11,1944-11-24
Q139634915,P2632,Q140459748,A-Few-Weeks,1943-12-09,1943-12-21
Q139632397,P2632,Q140458874,A-Few-Weeks,1942-08-18,1942-08-18
Q138606964,P2632,Q140459443,A-Few-Weeks,1942-10-28,1942-11-26
Q138370488,P2632,Q140458793,A-Few-Weeks,1944-04-25,1944-05-05
Q138699506,P2632,Q140459458,A-Few-Weeks,1942-12-01,1943-01-14
Q138606990,P2632,Q28717972,A-Few-Weeks,1943-02-25,1943-02-27
Q138368415,P2632,Q637411,A-Few-Weeks,1944-06-26,1944-10-19
Q138364214,P2632,Q15204401,A-Few-Weeks,1944-07-08,1944-07-28
Q138359482,P2632,Q140459506,A-Few-Weeks,1941-10-20,1942-01-22
Q139655831,P2632,Q140458774,A-Few-Weeks,1944-06-10,1944-09-04
Q138362021,P2632,Q140458875,A-Few-Weeks,1944-05-19,1944-05-26
Q139631218,P2632,Q140459146,A-Few-Weeks,1942-04-28,1942-05-01
Q139658036,P2632,Q637411,A-Few-Weeks,1944-05-09,1944-06-17
Q138372980,P2632,Q140458793,A-Few-Weeks,1944-05-01,1944-06-03
Q139655941,P2632,Q140458828,A-Few-Weeks,1944-10-26,1944-10-28
Q138607255,P2632,Q140458793,A-Few-Weeks,1943-12-21,1943-01-07
Q139647443,P2632,Q140459760,A-Few-Weeks,1944-07-02,1944-07-19
Q139637950,P2632,Q637411,A-Few-Weeks,1944-09-15,1944-09-19
Q139647414,P2632,Q140458773,A-Few-Weeks,1943-11-01,1943-11-23
Q138606914,P2632,Q7393493,A-Few-Weeks,1942-11-26,1942-11-30
Q138376171,P2632,Q637411,A-Few-Weeks,1944-08-10,1945-02-04
Q139648790,P2632,Q140459448,A-Few-Weeks,1944-08-25,1944-09-02
Q139639156,P2632,Q140459448,A-Few-Weeks,1942-04-08,1942-04-13
Q139641830,P2632,Q15204401,A-Few-Weeks,1942-11-25,1942-12-10
Q138361036,P2632,Q140459748,A-Few-Weeks,1944-10-20,1944-10-21
Q139652327,P2632,Q2217762,A-Few-Weeks,1944-09-10,1944-09-20
Q138367179,P2632,Q140459448,A-Few-Weeks,1944-04-29,1944-12-20
Q138378475,P2632,Q140459448,A-Few-Weeks,1944-07-29,1944-09-11
Q138374839,P2632,Q140459441,A-Few-Weeks,1942-10-15,1942-10-21
Q139648908,P2632,Q2217762,A-Few-Weeks,1942-08-24,1942-09-17
Q139634444,P2632,Q140459146,A-Few-Weeks,1944-07-26,1944-08-04
Q138363992,P2632,Q637411,A-Few-Weeks,1943-07-19,1943-07-26
Q139641802,P2632,Q637411,A-Few-Weeks,1945-03-02,1945-05-08
Q139653051,P2632,Q140459456,A-Few-Weeks,1943-03-20,1943-03-25
Q139636462,P2632,Q7393493,A-Few-Weeks,1943-12-09,1943-12-11
Q138374761,P2632,Q140459146,A-Few-Weeks,1942-02-24,1942-03-16
Q138361413,P2632,Q140459443,A-Few-Weeks,1942-10-28,1942-11-26
Q111977647,P2632,Q318861,A-Few-Weeks,1945-02-06,1945-02-28
Q139651501,P2632,Q140459442,A-Few-Weeks,1945-02-24,1945-04-12
Q139635726,P2632,Q140458828,A-Few-Weeks,1944-03-03,1944-03-09
Q139641189,P2632,Q637411,A-Few-Weeks,1945-02-24,1945-05-08
Q138363929,P2632,Q140459457,A-Few-Weeks,1944-12-16,
Q139643390,P2632,Q140459491,A-Few-Weeks,1943-08-02,1943-08-18
Q139653168,P2632,Q140459456,A-Few-Weeks,1943-07-13,1943-07-15
Q139629713,P2632,Q2217762,A-Few-Weeks,1944-06-07,1944-08-10
Q138375853,P2632,Q140459491,A-Few-Weeks,1944-09-13,1944-10-24
Q139647709,P2632,Q2217762,A-Few-Weeks,1944-09-10,1944-09-20
Q139650410,P2632,Q140458793,A-Few-Weeks,1943-08-11,1943-08-21
Q139639260,P2632,Q2217762,A-Few-Weeks,1945-03-20,1945-05-08
Q138369007,P2632,Q140459436,A-Few-Weeks,1944-12-02,1944-12-28
Q139636947,P2632,Q140459506,A-Few-Weeks,1943-08-28,1943-11-20
Q138375258,P2632,Q2217762,A-Few-Weeks,1944-09-30,1945-05-08
Q139631231,P2632,Q140458872,A-Few-Weeks,1944-01-17,1944-01-18
Q138361824,P2632,Q2217762,A-Few-Weeks,1944-08-23,1944-09-22
Q139646378,P2632,Q637411,A-Few-Weeks,1942-04-22,1943-12-11
Q138372767,P2632,Q140459457,A-Few-Weeks,1944-03-29,1944-04-15
Q139638180,P2632,Q637411,A-Few-Weeks,1942-08-18,1942-12-02
Q88592565,P582,2020-04-08T00:00:00Z,A-Few-Weeks,2020-03-23,2020-04-06
Q139645256,P2632,Q140459146,A-Few-Weeks,1944-04-18,1944-04-20
Q138378140,P2632,Q140459381,A-Few-Weeks,1943-09-08,
Q23786075,P276,Q676017,A-Few-Weeks,2016-07-09,2016-07-10
Q23944650,P2632,Q140459146,A-Few-Weeks,1942-10-07,1942-10-08
Q138372811,P2632,Q140458897,A-Few-Weeks,1943-03-04,1943-04-10
Q138380563,P2632,Q140459448,A-Few-Weeks,1944-10-06,1944-10-30
Q138373899,P2632,Q140459448,A-Few-Weeks,1943-11-24,1943-12-03
Q118948462,P2632,Q47515834,A-Few-Weeks,1944-06-17,1945-05-08
Q48754487,P1029,Q4526650,A-Few-Weeks,1937-09-13,1937-09-22
Q139642088,P2632,Q140459448,A-Few-Weeks,1941-12-07,1942-01-20
Q138376414,P2632,Q140459441,A-Few-Weeks,1943-12-09,1943-12-09
Q138364101,P2632,Q2217762,A-Few-Weeks,1944-11-19,1945-01-19
Q133543495,P2632,Q637411,A-Few-Weeks,1943-02-07,1944-05-09
Q138364774,P2632,Q140459448,A-Few-Weeks,1945-03-05,1945-03-06
Q138359663,P2632,Q637411,A-Few-Weeks,1942-03-26,1942-03-31
Q138367256,P2632,Q140459448,A-Few-Weeks,1944-08-18,1944-09-11
Q138370904,P2632,Q637411,A-Few-Weeks,1942-11-12,1942-12-14
Q138373556,P2632,Q140459535,A-Few-Weeks,1944-06-15,1944-07-12
Q138606897,P2632,Q140459443,A-Few-Weeks,1942-10-31,1942-11-26
Q139658346,P2632,Q637411,A-Few-Weeks,1944-07-25,1944-01-01
Q139656600,P2632,Q140459491,A-Few-Weeks,1943-05-11,1943-05-26
Q138374437,P2632,Q140459448,A-Few-Weeks,1944-08-16,1944-08-21
Q139649290,P2632,Q2217762,A-Few-Weeks,1944-09-30,1944-12-12
Q139634866,P2632,Q140458793,A-Few-Weeks,1944-06-06,1944-07-01
Q139627614,P2632,Q140459448,A-Few-Weeks,1941-12-18,1941-12-20
Q138376430,P2632,Q140459146,A-Few-Weeks,1944-06-28,1944-07-19
Q139625840,P2632,Q637411,A-Few-Weeks,1944-10-26,1945-05-08
Q139638885,P2632,Q140459146,A-Month,1941-11-10,1941-11-25
Q138607155,P2632,Q140459441,A-Month,1942-02-13,1942-05-13
Q139650103,P2632,Q140458793,A-Month,1944-11-23,1944-12-13
Q705179,P1352,15.0,A-Month,2018-06-01,
Q138375107,P2632,Q140459419,A-Month,1944-09-07,1945-01-30
Q26256161,P276,Q11357837,A-Month,1983-01-08,1983-02-13
Q139652135,P2632,Q637411,A-Month,1944-09-22,1945-05-08
Q138377961,P2632,Q140459344,A-Month,1943-01-17,1943-03-02
Q964024,P31,Q3624078,A-Month,1918-02-06,1918-03-27
Q139641549,P2632,Q15204401,A-Month,1942-11-26,1943-02-01
Q139650004,P2632,Q140459441,A-Month,1944-08-16,1944-11-27
Q689619,P4791,Q57253,A-Month,1937-07-31,1937-08-15
Q138370855,P2632,Q2217762,A-Month,1944-10-14,1945-01-19
Q139645569,P2632,Q140459442,A-Month,1942-07-02,1942-07-04
Q21027989,P1352,22.0,A-Month,2015-12-01,2016-01-01
Q115018285,P276,Q49208,A-Month,1921-03-02,1921-03-23
Q139648519,P2632,Q140459448,A-Month,1945-01-11,1945-03-14
Q330988,P6,Q379203,A-Month,1976-04-04,1976-04-11
Q138366430,P2632,Q637411,A-Month,1944-09-22,1945-04-27
Q139641321,P2632,Q140459748,A-Month,1945-03-01,1945-03-01
Q138607652,P2632,Q637411,A-Month,1944-07-18,1944-09-06
Q110860660,P1410,6.0,A-Month,2011-01-23,2014-03-31
Q139651419,P2632,Q140459456,A-Month,1943-03-05,1943-03-05
Q258610,P1352,35.0,A-Month,2015-11-01,2015-11-01
Q139658116,P2632,Q637411,A-Month,1944-06-03,1944-08-10
Q138380606,P2632,Q140459448,A-Month,1945-04-12,1945-04-18
Q139646026,P2632,Q140459441,A-Month,1942-10-20,1942-12-04
Q139645187,P2632,Q140459448,A-Month,1943-06-03,1943-08-11
Q139648643,P2632,Q140459616,A-Month,1942-08-12,1942-08-20
Q139629070,P2632,Q140458828,A-Month,1944-06-09,1944-06-10
Q139653154,P2632,Q140459456,A-Month,1943-03-06,1943-03-06
Q139652988,P2632,Q140459448,A-Month,1942-12-13,1942-12-16
Q138375046,P2632,Q637411,A-Month,1943-05-08,1943-12-19
Q139656024,P2632,Q2217762,A-Month,1944-10-18,1945-01-19
Q139633506,P2632,Q637411,A-Month,1944-03-15,
Q30128441,P1352,7.0,A-Month,2017-11-01,2017-11-01
Q1144791,P17,Q33,A-Month,1917-12-06,1944-09-19
Q138370624,P2632,Q2217762,A-Month,1944-11-19,1945-01-19
Q138371347,P2632,Q15204401,A-Month,1944-04-27,1944-07-26
Q138370390,P2632,Q140459371,A-Month,1945-04-30,
Q138363553,P2632,Q140459146,A-Month,1942-08-04,1942-08-06
Q139642404,P2632,Q11967915,A-Month,1944-01-18,1944-04-05
Q139650702,P2632,Q140459441,A-Month,1943-01-28,1943-04-20
Q139640681,P2632,Q140459506,A-Month,1941-10-04,1941-11-18
Q138371876,P2632,Q15204401,A-Month,1942-06-11,1942-07-31
Q18119637,P39,Q110994624,A-Month,2014-05-27,2014-08-01
Q139652734,P2632,Q140459448,A-Month,1944-06-19,1944-09-11
Q139637779,P2632,Q140459448,A-Month,1942-09-07,1942-10-23
Q138380751,P2632,Q2217762,A-Month,1944-01-25,1944-05-07
Q138377436,P2632,Q637411,A-Month,1943-12-03,1943-12-18
Q139637103,P2632,Q140459386,A-Month,1943-06-10,1943-08-30
Q139653446,P2632,Q140459448,A-Month,1943-12-22,1944-01-13
Q138371086,P2632,Q140459310,A-Month,1944-08-21,1944-10-10
Q20107451,P2632,Q312478,A-Month,1944-11-28,1945-04-21
Q458310,P1352,324.0,A-Month,2018-05-01,2018-05-01
Q139635385,P2632,Q637411,A-Month,1943-05-23,1943-07-29
Q139655959,P2632,Q2217762,A-Month,1944-11-19,1945-01-19
Q138371130,P2632,Q140459310,A-Month,1944-12-17,1945-02-21
Q1372937,P17,Q33,A-Month,1917-12-06,1997-08-31
Q139643248,P2632,Q140459498,A-Month,1944-10-12,1944-12-10
Q104891144,P276,Q104900234,A-Month,1986-04-23,1986-05-11
