property,entity,frequency,timeline_entry_count,evaluated_n_statements
P54,Q104623447,A-Few-Years,4,4
P54,Q104666648,A-Year,5,5
P54,Q104722413,A-Year,7,7
P54,Q104737324,A-Few-Years,5,5
P54,Q104761859,A-Year,6,6
P54,Q104762992,A-Year,3,3
P54,Q104851337,A-Few-Years,4,4
P54,Q105010227,A-Year,5,5
P54,Q105041034,A-Year,12,12
P54,Q105072430,A-Year,3,3
P54,Q105075451,A-Year,3,3
P54,Q105079870,A-Few-Years,6,6
P54,Q105099329,A-Few-Years,6,6
P54,Q105216869,A-Few-Years,6,6
P54,Q105258245,A-Few-Years,6,6
P54,Q105258368,A-Few-Years,4,4
P54,Q105259086,A-Few-Years,3,3
P54,Q105322261,A-Few-Years,3,3
P54,Q10536007,A-Year,13,13
P54,Q105385128,A-Year,9,9
P54,Q105426947,A-Few-Years,3,3
P54,Q105467058,A-Year,5,5
P54,Q105499167,A-Few-Years,3,3
P54,Q105503506,A-Year,3,3
P54,Q105503507,A-Few-Years,4,4
P54,Q105503508,A-Year,6,6
P54,Q105514869,A-Few-Years,3,3
P54,Q105536694,A-Year,6,6
P54,Q105554657,A-Year,4,4
P54,Q10556128,A-Year,12,12
P54,Q10556145,A-Year,9,9
P54,Q105570759,A-Few-Years,5,5
P54,Q105620054,A-Year,4,4
P54,Q105703208,A-Year,3,3
P54,Q105704331,A-Few-Years,3,3
P54,Q105711219,A-Year,3,3
P54,Q105722024,A-Few-Years,3,3
P54,Q105747072,A-Few-Years,5,5
P54,Q105799018,A-Few-Years,6,6
P54,Q105829754,A-Few-Years,3,3
P54,Q105850442,A-Few-Years,3,3
P54,Q105851977,A-Few-Years,5,5
P54,Q105858261,A-Few-Years,3,3
P54,Q105867139,A-Few-Years,3,3
P54,Q105954395,A-Few-Years,3,3
P54,Q105980461,A-Few-Years,4,4
P54,Q105993385,A-Few-Years,5,5
P54,Q106076566,A-Year,6,6
P54,Q106095829,A-Few-Years,4,4
P54,Q106096552,A-Few-Years,3,3
P54,Q106114989,A-Year,3,3
P54,Q106155558,A-Year,7,7
P54,Q106237832,A-Year,6,6
P54,Q106238344,A-Year,4,4
P54,Q106278518,A-Few-Years,3,3
P54,Q106322839,A-Year,5,5
P54,Q106366863,A-Year,7,7
P54,Q106422174,A-Few-Years,3,3
P54,Q106447931,A-Year,11,11
P54,Q106498350,A-Year,5,5
P54,Q106498383,A-Few-Years,4,4
P54,Q106511528,A-Year,5,5
P54,Q106511553,A-Year,3,3
P54,Q106511717,A-Year,4,4
P54,Q106511729,A-Year,4,4
P54,Q106522775,A-Year,7,7
P54,Q106525770,A-Few-Years,3,3
P54,Q106564059,A-Few-Years,3,3
P54,Q106571892,A-Few-Years,5,5
P54,Q106645146,A-Few-Years,3,3
P54,Q106676609,A-Year,11,11
P54,Q106677587,A-Few-Years,5,5
P54,Q106677851,A-Few-Years,4,4
P54,Q106695617,A-Few-Years,3,3
P54,Q106730095,A-Few-Years,4,4
P54,Q106751839,A-Few-Years,4,4
P54,Q106755942,A-Year,3,3
P54,Q106762921,A-Year,11,11
P54,Q106766381,A-Year,6,6
P54,Q106768655,A-Year,5,5
P54,Q106777245,A-Year,10,10
P54,Q106777321,A-Year,7,7
P54,Q106782995,A-Few-Years,5,5
P54,Q106783010,A-Few-Years,4,4
P54,Q106785010,A-Few-Years,4,4
P54,Q106818066,A-Few-Years,3,3
P54,Q106818511,A-Few-Years,5,4
P54,Q106827098,A-Year,11,11
P54,Q106836287,A-Few-Years,3,3
P54,Q106837883,A-Year,4,4
P54,Q106844557,A-Few-Years,4,4
P54,Q106863981,A-Few-Years,4,4
P54,Q106864028,A-Few-Years,5,5
P54,Q106864147,A-Year,5,5
P54,Q106864486,A-Year,4,4
P54,Q106864496,A-Year,5,5
P54,Q106864746,A-Year,3,3
P54,Q106864771,A-Year,6,6
P54,Q106870766,A-Year,6,6
P54,Q106871235,A-Year,6,6
P54,Q106871295,A-Year,7,7
P54,Q106878073,A-Few-Years,4,4
P54,Q106930248,A-Few-Years,5,5
P54,Q106936958,A-Few-Years,4,4
P54,Q106973353,A-Few-Years,3,3
P54,Q106974037,A-Few-Years,6,6
P54,Q106977723,A-Few-Years,5,5
P54,Q106977751,A-Few-Years,4,4
P54,Q106977855,A-Few-Years,4,4
P54,Q106979513,A-Year,10,10
P54,Q106983476,A-Few-Years,5,5
P54,Q106984517,A-Few-Years,4,4
P54,Q106985158,A-Year,3,3
P54,Q106985907,A-Year,3,3
P54,Q106986529,A-Year,3,3
P54,Q106994682,A-Few-Years,4,4
P54,Q106994765,A-Few-Years,3,3
P54,Q107012737,A-Few-Years,5,5
P54,Q107014767,A-Year,4,4
P54,Q107030586,A-Year,3,3
P54,Q107035469,A-Few-Years,4,4
P54,Q107099962,A-Year,10,10
P54,Q107109107,A-Few-Years,4,4
P54,Q107109403,A-Few-Years,3,3
P54,Q107120044,A-Year,9,9
P54,Q107137369,A-Year,5,5
P54,Q107155262,A-Few-Years,3,3
P54,Q107190922,A-Few-Years,3,3
P54,Q107190990,A-Year,6,6
P54,Q107206621,A-Year,5,5
P54,Q107207250,A-Year,5,5
P54,Q107208011,A-Few-Years,3,3
P54,Q107235080,A-Year,15,15
P54,Q107248795,A-Year,3,3
P54,Q107289639,A-Few-Years,4,4
P54,Q107291558,A-Year,11,11
P54,Q107294837,A-Year,5,5
P54,Q107346191,A-Few-Years,6,6
P54,Q107346211,A-Year,6,6
P54,Q107352615,A-Few-Years,3,3
P54,Q107364434,A-Few-Years,6,6
P54,Q107413650,A-Few-Years,3,3
P54,Q107425366,A-Few-Years,4,4
P54,Q107451892,A-Year,5,5
P54,Q107456740,A-Year,7,7
P54,Q107458498,A-Year,13,13
P54,Q107503723,A-Year,3,3
P54,Q107552893,A-Year,5,5
P54,Q107570439,A-Year,9,9
P54,Q1075707,A-Few-Years,3,3
P54,Q107579513,A-Few-Years,3,3
P54,Q107619659,A-Few-Years,5,5
P54,Q107650679,A-Year,3,3
P54,Q107677603,A-Year,6,6
P54,Q107708804,A-Few-Years,6,6
P54,Q107977439,A-Few-Years,4,4
P54,Q108015930,A-Year,5,5
P54,Q108042078,A-Year,5,5
P54,Q108042827,A-Year,4,4
P54,Q108055029,A-Few-Years,4,4
P54,Q108059254,A-Few-Years,10,10
P54,Q108064114,A-Few-Years,3,3
P54,Q108100516,A-Year,7,7
P54,Q108109604,A-Few-Years,3,3
P54,Q108110253,A-Few-Years,4,4
P54,Q108132309,A-Few-Years,3,3
P54,Q108221142,A-Few-Years,4,4
P54,Q108221864,A-Year,8,8
P54,Q108223400,A-Year,9,9
P54,Q108300042,A-Few-Years,6,6
P54,Q108317266,A-Year,6,6
P54,Q108370804,A-Few-Years,3,3
P54,Q108383745,A-Year,9,9
P54,Q108417856,A-Year,10,10
P54,Q108495409,A-Few-Years,3,3
P54,Q108516612,A-Few-Years,3,3
P54,Q108533433,A-Few-Years,5,5
P54,Q108578411,A-Few-Years,3,3
P54,Q108611754,A-Year,4,4
P54,Q108636899,A-Few-Years,8,8
P54,Q108639653,A-Few-Years,8,8
P54,Q108655270,A-Year,7,7
P54,Q108657963,A-Few-Years,3,3
P54,Q108657972,A-Year,6,6
P54,Q108657973,A-Few-Years,6,6
P54,Q108657974,A-Few-Years,4,4
P54,Q108657976,A-Year,5,5
P54,Q108683765,A-Few-Years,4,4
P54,Q108713273,A-Few-Years,5,5
P54,Q108713337,A-Few-Years,7,7
P54,Q108777320,A-Few-Years,3,3
P54,Q108777388,A-Few-Years,3,3
P54,Q108791318,A-Year,13,13
P54,Q108807035,A-Few-Years,3,3
P54,Q108813384,A-Year,4,4
P54,Q109016319,A-Year,3,3
P54,Q10914562,A-Year,8,8
P54,Q109240476,A-Few-Years,6,6
P54,Q109265926,A-Year,11,11
P54,Q109315102,A-Year,4,4
P54,Q109315782,A-Few-Years,9,9
P54,Q109320628,A-Few-Years,4,4
P54,Q109370536,A-Year,8,8
P54,Q109376653,A-Year,10,10
P54,Q109385514,A-Year,6,6
P54,Q109451977,A-Year,3,3
P54,Q109486743,A-Year,6,6
P54,Q109486823,A-Year,10,10
P54,Q109490737,A-Few-Years,6,6
P54,Q109530780,A-Few-Years,3,3
P54,Q109540470,A-Few-Years,5,5
P54,Q109540676,A-Few-Years,5,5
P54,Q109550353,A-Few-Years,5,5
P54,Q109553112,A-Year,6,6
P54,Q109576110,A-Year,7,7
P54,Q109585930,A-Few-Years,5,5
P54,Q109669843,A-Few-Years,6,6
P54,Q1097511,A-Few-Years,4,4
P54,Q109796860,A-Few-Years,6,6
P54,Q1098038,A-Few-Years,5,5
P54,Q109817280,A-Few-Years,4,4
P54,Q109818447,A-Few-Years,5,5
P54,Q109912727,A-Few-Years,3,3
P54,Q109912786,A-Year,4,4
P54,Q109935927,A-Few-Years,6,6
P54,Q109939,A-Year,6,6
P54,Q109974895,A-Year,5,5
P54,Q110012812,A-Year,5,5
P54,Q110013786,A-Few-Years,4,4
P54,Q110046227,A-Year,6,6
P54,Q110061744,A-Year,4,4
P54,Q110072672,A-Year,6,6
P54,Q1101410,A-Year,12,12
P54,Q110226202,A-Year,6,6
P54,Q110238302,A-Few-Years,3,3
P54,Q110248948,A-Year,3,3
P54,Q110271962,A-Year,8,8
P54,Q110285106,A-Year,5,5
P54,Q110355756,A-Few-Years,3,3
P54,Q1103821,A-Year,18,18
P54,Q110403144,A-Few-Years,6,6
P54,Q110403823,A-Few-Years,4,4
P54,Q110484521,A-Few-Years,3,3
P54,Q110526900,A-Year,4,4
P54,Q110560030,A-Few-Years,3,3
P54,Q110604923,A-Few-Years,6,6
P54,Q110608898,A-Year,3,3
P54,Q110620816,A-Few-Years,3,3
P54,Q110624187,A-Year,6,6
P54,Q110624195,A-Year,3,3
P54,Q110692698,A-Year,4,4
P54,Q110768699,A-Few-Years,4,4
P54,Q110770445,A-Few-Years,3,3
P54,Q110772116,A-Few-Years,3,3
P54,Q1107989,A-Few-Years,4,4
P54,Q110832125,A-Few-Years,3,3
P54,Q110887971,A-Year,7,7
P54,Q110907306,A-Few-Years,7,7
P54,Q110948451,A-Few-Years,4,4
P54,Q110992301,A-Few-Years,4,4
P54,Q111010272,A-Year,5,5
P54,Q111018092,A-Few-Years,5,5
P54,Q111041052,A-Few-Years,4,4
P54,Q111041115,A-Few-Years,5,5
P54,Q111044167,A-Year,7,7
P54,Q111079496,A-Few-Years,4,4
P54,Q111103267,A-Year,9,9
P54,Q111113152,A-Few-Years,3,3
P54,Q111133754,A-Year,5,5
P54,Q111146299,A-Year,16,16
P54,Q111233013,A-Year,3,3
P54,Q111305466,A-Year,7,7
P54,Q111327993,A-Few-Years,3,3
P54,Q111370791,A-Year,5,5
P54,Q111434494,A-Year,5,5
P54,Q111470549,A-Year,3,3
P54,Q111480478,A-Year,9,9
P54,Q111488994,A-Year,3,3
P54,Q111538549,A-Few-Years,4,4
P54,Q111538574,A-Few-Years,3,3
P54,Q111544345,A-Few-Years,5,5
P54,Q111549947,A-Few-Years,4,4
P54,Q111637849,A-Year,5,5
P54,Q111709461,A-Year,9,9
P54,Q111731612,A-Year,7,7
P54,Q111805249,A-Few-Years,3,3
P54,Q111805675,A-Few-Years,4,4
P54,Q111806230,A-Few-Years,3,3
P54,Q111816323,A-Few-Years,4,4
P54,Q111834569,A-Year,4,4
P54,Q111954398,A-Few-Years,3,3
P54,Q111969197,A-Few-Years,3,3
P54,Q111974438,A-Year,7,7
P54,Q111976599,A-Year,3,3
P54,Q112056600,A-Year,7,7
P54,Q112107132,A-Few-Years,4,4
P54,Q112107265,A-Few-Years,6,6
P54,Q112107476,A-Year,5,5
P54,Q112147170,A-Few-Years,6,6
P54,Q112156860,A-Year,6,6
P54,Q112166265,A-Few-Years,3,3
P54,Q112176785,A-Year,6,6
P54,Q112209014,A-Year,8,8
P54,Q112225813,A-Year,7,7
P54,Q112237926,A-Year,6,6
P54,Q112238966,A-Year,4,4
P54,Q112264609,A-Few-Years,4,4
P54,Q112289666,A-Few-Years,3,3
P54,Q112334214,A-Year,3,3
P54,Q112359244,A-Few-Years,5,5
P54,Q112502799,A-Few-Years,6,6
P54,Q112585294,A-Few-Years,4,4
P54,Q112600299,A-Few-Years,4,4
P54,Q11262805,A-Few-Years,5,5
P54,Q112649655,A-Year,10,10
P54,Q112656245,A-Year,3,3
P54,Q112660784,A-Year,6,6
P54,Q112660880,A-Year,5,5
P54,Q112661141,A-Year,6,6
P54,Q112678851,A-Year,10,10
P54,Q112684371,A-Few-Years,5,5
P54,Q112791129,A-Few-Years,4,4
P54,Q112803449,A-Year,5,5
P54,Q112812629,A-Few-Years,4,4
P54,Q112840758,A-Year,4,4
P54,Q112875400,A-Year,6,6
P54,Q112960093,A-Few-Years,4,4
P54,Q112960109,A-Few-Years,4,4
P54,Q113026801,A-Few-Years,10,10
P54,Q11309297,A-Year,15,15
P54,Q113147310,A-Few-Years,6,6
P54,Q113196589,A-Year,5,5
P54,Q113253689,A-Few-Years,4,4
P54,Q113303966,A-Few-Years,5,5
P54,Q113329135,A-Few-Years,4,4
P54,Q113377240,A-Year,6,6
P54,Q113414641,A-Year,7,7
P54,Q113466878,A-Few-Years,4,4
P54,Q113471808,A-Year,5,5
P54,Q113512416,A-Few-Years,4,4
P54,Q113517772,A-Year,3,3
P54,Q113557067,A-Few-Years,4,4
P54,Q113566324,A-Year,4,4
P54,Q113566746,A-Year,4,4
P54,Q113567114,A-Few-Years,3,3
P54,Q113574348,A-Year,7,7
P54,Q113574354,A-Year,6,6
P54,Q11359499,A-Few-Years,6,6
P54,Q113608014,A-Year,9,9
P54,Q113630291,A-Few-Years,4,4
P54,Q113638771,A-Year,5,5
P54,Q113665032,A-Few-Years,3,3
P54,Q113708389,A-Year,4,4
P54,Q11379496,A-Few-Years,3,3
P54,Q11394642,A-Few-Years,4,4
P54,Q113951280,A-Year,7,7
P54,Q113951508,A-Few-Years,5,5
P54,Q113960346,A-Year,9,9
P54,Q113960500,A-Year,8,8
P54,Q113980173,A-Few-Years,8,8
P54,Q114037405,A-Year,6,6
P54,Q114037749,A-Year,12,12
P54,Q114054755,A-Year,9,9
P54,Q114081962,A-Year,11,11
P54,Q114095481,A-Few-Years,3,3
P54,Q114111654,A-Year,7,7
P54,Q114142943,A-Year,6,6
P54,Q114148979,A-Year,11,11
P54,Q114185606,A-Year,15,15
P54,Q114215522,A-Year,8,8
P54,Q114223623,A-Year,9,9
P54,Q114224704,A-Year,11,11
P54,Q114259839,A-Few-Years,4,4
P54,Q11426078,A-Few-Years,9,9
P54,Q11428009,A-Few-Years,3,3
P54,Q114342427,A-Year,5,5
P54,Q114412932,A-Year,10,10
P54,Q11441787,A-Few-Years,4,4
P54,Q114428714,A-Year,8,8
P54,Q114457646,A-Few-Years,3,3
P54,Q114561808,A-Year,5,5
P54,Q114562922,A-Year,9,9
P54,Q114564368,A-Few-Years,4,4
P54,Q114569937,A-Year,3,3
P54,Q114603738,A-Few-Years,7,7
P54,Q114632516,A-Few-Years,4,4
P54,Q11465974,A-Few-Years,3,3
P54,Q114673583,A-Year,7,7
P54,Q11468786,A-Few-Years,4,4
P54,Q114711624,A-Year,11,11
P54,Q114717616,A-Year,5,5
P54,Q114729954,A-Few-Years,3,3
P54,Q11477370,A-Year,8,8
P54,Q11478196,A-Few-Years,3,3
P54,Q114801591,A-Few-Years,4,4
P54,Q114832923,A-Few-Years,4,4
P54,Q114863997,A-Few-Years,4,4
P54,Q114871431,A-Year,12,12
P54,Q114950589,A-Year,5,5
P54,Q114967675,A-Few-Years,10,10
P54,Q114981567,A-Few-Years,3,3
P54,Q114983160,A-Year,5,5
P54,Q115015993,A-Year,5,5
P54,Q11517040,A-Few-Years,4,4
P54,Q1151965,A-Few-Years,8,8
P54,Q1152001,A-Few-Years,4,4
P54,Q1152011,A-Few-Years,6,6
P54,Q115203845,A-Year,5,5
P54,Q115222370,A-Year,8,8
P54,Q11522952,A-Few-Years,3,3
P54,Q11530962,A-Few-Years,3,3
P54,Q1153899,A-Few-Years,4,4
P54,Q115492436,A-Few-Years,3,3
P54,Q115520140,A-Year,7,7
P54,Q115525062,A-Year,4,4
P54,Q115529577,A-Few-Years,3,3
P54,Q115529853,A-Few-Years,3,3
P54,Q115529946,A-Year,3,3
P54,Q115556051,A-Few-Years,3,3
P54,Q115598903,A-Year,6,6
P54,Q11565850,A-Year,11,11
P54,Q115669735,A-Year,7,7
P54,Q115706577,A-Year,6,6
P54,Q115730863,A-Year,3,3
P54,Q115760594,A-Few-Years,3,3
P54,Q115793053,A-Year,5,5
P54,Q115814721,A-Year,8,8
P54,Q115903434,A-Year,14,14
P54,Q115907255,A-Year,5,5
P54,Q115934289,A-Year,4,4
P54,Q116025471,A-Few-Years,4,4
P54,Q116038344,A-Few-Years,3,3
P54,Q1160599,A-Few-Years,5,5
P54,Q116234878,A-Few-Years,3,3
P54,Q116258976,A-Year,5,5
P54,Q116288712,A-Year,9,9
P54,Q116372703,A-Year,6,6
P54,Q1164627,A-Few-Years,6,6
P54,Q116473267,A-Few-Years,6,6
P54,Q116572356,A-Few-Years,6,6
P54,Q11657585,A-Few-Years,4,4
P54,Q116619328,A-Few-Years,5,5
P54,Q11666481,A-Few-Years,5,5
P54,Q11667624,A-Few-Years,4,4
P54,Q116699222,A-Year,7,7
P54,Q116730520,A-Year,10,10
P54,Q116779907,A-Year,5,5
P54,Q116854681,A-Few-Years,4,4
P54,Q116873342,A-Year,5,5
P54,Q116919697,A-Few-Years,7,7
P54,Q116936099,A-Few-Years,4,4
P54,Q116936143,A-Few-Years,3,3
P54,Q116936500,A-Few-Years,3,3
P54,Q116937145,A-Year,3,3
P54,Q116937201,A-Few-Years,3,3
P54,Q116937317,A-Year,5,5
P54,Q116970837,A-Few-Years,3,3
P54,Q11697229,A-Year,13,13
P54,Q116974987,A-Year,3,3
P54,Q116975837,A-Year,4,4
P54,Q117006174,A-Year,9,9
P54,Q117035363,A-Year,5,5
P54,Q117101851,A-Few-Years,10,10
P54,Q117144703,A-Year,4,4
P54,Q117221171,A-Few-Years,8,8
P54,Q117225415,A-Year,3,3
P54,Q11724056,A-Few-Years,7,7
P54,Q117272623,A-Few-Years,3,3
P54,Q11728662,A-Few-Years,7,7
P54,Q117287708,A-Year,6,6
P54,Q117304788,A-Year,6,6
P54,Q117306403,A-Year,5,5
P54,Q117307577,A-Year,14,14
P54,Q117314100,A-Year,5,5
P54,Q117356216,A-Year,12,12
P54,Q117359130,A-Few-Years,3,3
P54,Q117378152,A-Year,3,3
P54,Q11739856,A-Few-Years,6,6
P54,Q117429541,A-Year,7,7
P54,Q117450155,A-Few-Years,4,4
P54,Q117451496,A-Few-Years,3,3
P54,Q117463113,A-Few-Years,3,3
P54,Q117480887,A-Few-Years,3,3
P54,Q117486021,A-Few-Years,4,4
P54,Q117563910,A-Few-Years,3,3
P54,Q117713027,A-Few-Years,3,3
P54,Q117723844,A-Few-Years,6,6
P54,Q117748895,A-Few-Years,5,5
P54,Q117765871,A-Year,5,5
P54,Q11777453,A-Year,7,7
P54,Q11778535,A-Few-Years,13,13
P54,Q11781348,A-Year,9,9
P54,Q117823683,A-Year,6,6
P54,Q117832462,A-Few-Years,3,3
P54,Q11790000,A-Year,16,16
P54,Q11796105,A-Year,11,11
P54,Q118118553,A-Year,5,5
P54,Q118146496,A-Year,4,4
P54,Q118146562,A-Year,8,8
P54,Q118211483,A-Year,9,9
P54,Q118212287,A-Few-Years,4,4
P54,Q118274147,A-Year,9,9
P54,Q11828918,A-Year,7,7
P54,Q118302647,A-Few-Years,4,4
P54,Q118339468,A-Year,6,6
P54,Q118372455,A-Year,9,9
P54,Q118462870,A-Year,5,5
P54,Q118471072,A-Year,12,12
P54,Q118591566,A-Few-Years,3,3
P54,Q118597031,A-Few-Years,4,4
P54,Q11876258,A-Few-Years,5,5
P54,Q118764576,A-Year,7,7
P54,Q1187767,A-Year,7,7
P54,Q11882157,A-Few-Years,3,3
P54,Q118997017,A-Few-Years,5,5
P54,Q119213613,A-Year,3,3
P54,Q119215450,A-Few-Years,3,3
P54,Q11928062,A-Year,10,10
P54,Q119454285,A-Year,3,3
P54,Q119536757,A-Few-Years,3,3
P54,Q119538158,A-Few-Years,5,5
P54,Q119538800,A-Year,3,3
P54,Q119540154,A-Few-Years,3,3
P54,Q119541367,A-Few-Years,3,3
P54,Q119542857,A-Few-Years,5,5
P54,Q119545754,A-Year,5,5
P54,Q119546243,A-Few-Years,3,3
P54,Q119546523,A-Year,3,3
P54,Q119548405,A-Few-Years,3,3
P54,Q119549003,A-Few-Years,5,5
P54,Q119549025,A-Few-Years,3,3
P54,Q119549579,A-Few-Years,3,3
P54,Q119551052,A-Few-Years,3,3
P54,Q119552078,A-Year,6,6
P54,Q119552243,A-Few-Years,3,3
P54,Q119558514,A-Few-Years,7,7
P54,Q119563532,A-Year,10,10
P54,Q119567888,A-Few-Years,3,3
P54,Q119570342,A-Year,4,4
P54,Q119570761,A-Few-Years,3,3
P54,Q119828747,A-Year,6,6
P54,Q119948584,A-Few-Years,3,3
P54,Q120002714,A-Few-Years,5,5
P54,Q120041295,A-Year,5,5
P54,Q120096168,A-Few-Years,4,4
P54,Q120160212,A-Year,5,5
P54,Q120341565,A-Few-Years,4,4
P54,Q120491955,A-Few-Years,4,4
