entity_id,entity,property_id,property,value_id,value,value_unit,frequency,frequency_days,start_time,end_time,query
Q139535777,"Apostolic journey of John Paul II to Zaragoza, Santo Domingo and Puerto Rico",P17,country,Q786,Dominican Republic,,A-Day,1.0,1984-10-11,1984-10-12,"What country is the Apostolic journey of John Paul II to Zaragoza, Santo Domingo and Puerto Rico associated with?"
Q139632584,Harold Graystone,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Day,1,1940-06-15,1940-06-16,Where was Harold Graystone detained?
Q139651985,Czesław Szafran,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Day,1.5,1944-08-18,1944-08-20,Where was Czesław Szafran detained?
Q138374721,Hans Kalleberg,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Day,1,1942-08-18,1942-08-18,Where was Hans Kalleberg detained?
Q164373,Thaksin Shinawatra,P2632,place of detention,Q1886845,Klong Prem Central Prison,,A-Day,1,2023-08-22,2023-08-23,Where was Thaksin Shinawatra detained?
Q138606827,Gutman Nachemsohn,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1942-12-01,Where was Gutman Nachemsohn detained?
Q138371027,Philip Borøchstein,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Few-Days,3,1943-02-28,1943-03-02,Where was Philip Borøchstein detained?
Q138607158,Joseph Raskow,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1943-03-01,Where was Joseph Raskow detained?
Q138375045,Johan Kjønsø,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Days,5,1944-09-30,1944-03-14,Where was Johan Kjønsø detained?
Q139636296,Gunnar Egil Olsen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Days,5,1942-09-19,1942-09-23,Where was Gunnar Egil Olsen detained?
Q138359317,Wulf Klein,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,3,1942-10-07,1942-10-08,Where was Wulf Klein detained?
Q138373464,Kasper Nicolay Halvorsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,5,1943-08-16,1943-08-21,Where was Kasper Nicolay Halvorsen detained?
Q139651600,Hermann Gerlach,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Few-Days,6.5,1941-10-24,1941-10-25,Where was Hermann Gerlach detained?
Q131825072,Oxford University Expedition to British Guiana,P2825,via,Q25224942,Moraballi River,,A-Few-Days,3.0,1929-08-11,1929-11-30,What is the route via which Oxford University Expedition to British Guiana traveled?
Q138377810,Einar Lund,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,4.5,1942-11-10,1942-11-11,Where was Einar Lund detained?
Q139652446,Witold Jabłoński,P2632,place of detention,Q140459760,Åsen,,A-Few-Days,3.5,1944-09-22,1944-12-03,What was the place of detention of Witold Jabłoński?
Q138606818,Awschey Iskin,P2632,place of detention,Q140459443,Berg,,A-Few-Days,5,1942-10-28,1942-11-26,What is the place of detention of Awschey Iskin?
Q139644212,Leif Ødegård,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,4,1945-01-14,1945-01-18,What was the place of detention of Leif Ødegård?
Q138377952,Mikal Nilsen,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,2.0,1943-05-02,1943-05-03,Where was Mikal Nilsen detained?
Q138380546,Karl Oddmund Laugtug,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,4,1944-06-16,1944-06-20,Where was Karl Oddmund Laugtug detained?
Q138606798,Ignaz Rosenberg,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1942-12-01,Where was Ignaz Rosenberg detained?
Q138607368,Chaja Hirsch,P2632,place of detention,Q28717972,MS Gotenland,,A-Few-Days,3,1943-02-25,1943-02-27,Where was Chaja Hirsch detained?
Q138372002,Elmar Karsten Hegerberg,P2632,place of detention,Q140459661,Midtsand,,A-Few-Days,2,1944-07-12,1944-07-14,Where was Elmar Karsten Hegerberg detained?
Q138360410,Trygve Andreassen,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),,A-Few-Days,5.0,1945-01-11,1945-01-19,Where was Trygve Andreassen detained?
Q138607473,Josef Minster,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1943-03-01,Where was Josef Minster detained?
Q138695509,Charles Abraham Kermann,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1943-01-14,Where was Charles Abraham Kermann detained?
Q139637733,Bjørn Hallan,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,2.5,1944-11-02,1944-11-06,Where was Bjørn Hallan detained?
Q138607481,David Michael Reichmann,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1943-02-25,Where was David Michael Reichmann detained?
Q139641799,Bernhard Fischer,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,5.0,1942-11-08,1942-11-08,Where was Bernhard Fischer detained?
Q138710075,William Samersav,P2632,place of detention,Q140459443,Berg,,A-Few-Days,5,1942-10-28,1942-11-26,Where was William Samersav detained?
Q138373323,Jens Kristoffer Hansen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Few-Days,6,1943-01-16,1943-01-22,Where was Jens Kristoffer Hansen detained?
Q138606856,Clothilde Hanauer,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,3,1942-12-19,1943-02-24,Where was Clothilde Hanauer detained?
Q138607058,Rosa Isaksen,P2632,place of detention,Q28717972,MS Gotenland,,A-Few-Days,4,1943-02-24,1943-02-27,Where was Rosa Isaksen detained?
Q139632880,Klara Mary Johannesen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Days,4.0,1942-12-01,1942-12-05,Where was Klara Mary Johannesen detained?
Q138359251,Josef Mejer Gurewitz,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,3,1942-10-07,1942-10-08,Where was Josef Mejer Gurewitz detained?
Q112166675,Lars Dannevig,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Days,2.0,1942-02-23,1942-02-24,Where was Lars Dannevig detained?
Q138362265,Julius Isak Borøchstein,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Few-Days,3,1943-02-28,1943-03-02,Where was Julius Isak Borøchstein detained?
Q110854044,Lokaal Belang Eemsdelta,P1410,number of seats in assembly,,10.0,unitless,A-Few-Days,2.0,2021-01-05,2021-01-07,How many seats does Lokaal Belang Eemsdelta hold in the assembly?
Q138606911,Mathilde Dorothea Maliniak,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Mathilde Dorothea Maliniak detained?
Q138606835,Abraham Jacob Fried,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3.0,1943-03-03,1943-03-03,Where was Abraham Jacob Fried detained?
Q139649533,Oddvar Lunderød,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Days,3.0,1944-11-05,1944-11-08,Where was Oddvar Lunderød detained?
Q138360975,Louis Becker,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-08-10,Where was Louis Becker detained?
Q138360980,Mina Becker,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Mina Becker detained?
Q138360584,Moritz Arsch,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,6,1943-03-03,1943-03-03,Where was Moritz Arsch detained?
Q139658656,Margarethe Fredriksen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,2.0,1944-02-04,1944-02-05,Where was Margarethe Fredriksen detained?
Q138607078,Bertha Sonja Fischer,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,3,1942-12-02,1943-02-24,Where was Bertha Sonja Fischer detained?
Q138607140,Käthe Dworsky,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Käthe Dworsky detained?
Q138373860,Asbjørn Jakobsen,P2632,place of detention,Q140459461,Eidsberg,,A-Few-Days,4.0,1943-04-01,1943-04-06,Where was Asbjørn Jakobsen detained?
Q138606884,Philip Sam Watchman,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,5,1942-10-26,1942-10-28,Where was Philip Sam Watchman detained?
Q139633357,Sigurd Eriksen,P2632,place of detention,Q140459449,Victoria terrasse,,A-Few-Days,5.0,1943-10-01,1943-10-03,Where was Sigurd Eriksen detained?
Q138370613,Bernhard Berenhaut,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1942-12-01,Where was Bernhard Berenhaut detained?
Q138607410,Ruben Pintzow,P2632,place of detention,Q7393493,SS Donau,,A-Few-Days,5,1942-11-26,1942-11-30,Where was Ruben Pintzow detained?
Q138606788,Leopold Steinsapir,P2632,place of detention,Q7393493,SS Donau,,A-Few-Days,3.5,1942-11-26,1942-11-30,Where was Leopold Steinsapir detained?
Q138606983,Marie Dvoretsky,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Few-Days,3,1943-02-28,1943-03-02,Where was Marie Dvoretsky detained?
Q138607762,Harry Reichwald,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3.0,1943-03-03,1943-03-03,Where was Harry Reichwald detained?
Q138361246,Marie Berger,P2632,place of detention,Q28717972,MS Gotenland,,A-Few-Days,3,1943-02-25,1943-02-27,Where was Marie Berger detained?
Q139635251,Einar Lorang Eriksen,P2632,place of detention,Q154498,Sachsenhausen concentration camp,,A-Few-Days,4,1943-06-30,,Where was Einar Lorang Eriksen detained?
Q138695590,Stephan Weiss,P2632,place of detention,Q140459443,Berg,,A-Few-Days,5,1942-10-28,1942-11-26,Where was Stephan Weiss detained?
Q138607279,Max Martin Kassan,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,3,1942-12-19,1943-02-24,Where was Max Martin Kassan detained?
Q138607382,Hermann Krupp,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,5,1942-12-01,1942-12-30,Where was Hermann Krupp detained?
Q138607723,Lillian Lea Fischer,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Lillian Lea Fischer detained?
Q138699503,Henry Kalman Nachemsohn,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,5,1942-10-26,1942-10-28,Where was Henry Kalman Nachemsohn detained?
Q139634383,Ludvig Magnus Magnussen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,4.5,1944-07-01,1944-07-07,Where was Ludvig Magnus Magnussen detained?
Q138607006,Rösi Fein,P2632,place of detention,Q140459747,Stavanger kretsfengsel avd. A (Lagårdsveien 43),,A-Few-Days,3.0,1942-11-25,1942-11-26,Where was Rösi Fein detained?
Q138607052,Jenny Rosenberg,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Jenny Rosenberg detained?
Q138375086,William Kleivan,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,5.0,1942-03-30,1942-03-31,Where was William Kleivan detained?
Q138359188,David Isidor Dworsky,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,3,1942-10-07,1942-10-08,What was the place of detention of David Isidor Dworsky?
Q138606823,Flora Leventhal,P2632,place of detention,Q15204401,Bredtveit prison,,A-Few-Days,3,1942-12-02,1943-02-24,What is the place of detention of Flora Leventhal?
Q138359187,Sigurd Dvoretsky,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,3,1942-10-07,1942-10-08,Where was Sigurd Dvoretsky detained?
Q139640816,Øystein Andersen Grov,P2632,place of detention,Q140459403,Leirvik hjelpefengsel,,A-Few-Days,3.0,1941-05-22,1941-05-24,Where was Øystein Andersen Grov detained?
Q138377029,Torbjørg Mosdøl,P2632,place of detention,Q140459748,Aussendienststelle Kristiansand (Arkivet),,A-Few-Days,6,1943-02-26,1943-03-05,What was the place of detention of Torbjørg Mosdøl?
Q139638088,Arne Håkstad,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Days,6,1943-12-09,1943-12-09,Where was Arne Håkstad detained?
Q138687059,Abraham Bernhard Mahler,P2632,place of detention,Q140459443,Berg,,A-Few-Days,5,1942-11-04,1942-11-26,Where was Abraham Bernhard Mahler detained?
Q139635887,Petter T. Mona,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Few-Days,2,1944-02-19,1944-09-20,Where was Petter T. Mona detained?
Q139636105,Finn Glambek,P2632,place of detention,Q140459416,Bergen,,A-Few-Days,6.0,1942-03-20,1942-03-29,Where was Finn Glambek detained?
Q139634904,Jørgen Tobias Tverbakk,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Days,6.0,1944-01-14,1944-01-15,Where was Jørgen Tobias Tverbakk detained?
Q139632513,Lauritz Edvard Hanssen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,3,1945-04-19,1945-05-08,What was the place of detention of Lauritz Edvard Hanssen?
Q138478680,Apostolic journey by Leo XIV to Spain,P527,has part(s),Q139820080,Visit by Pope Leo XIV to Madrid,,A-Few-Days,2.5,2026-06-06,2026-06-09,What are the parts of Apostolic journey by Leo XIV to Spain?
Q139635230,Nils Kalsøy Karlsen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,5.5,1943-01-30,1943-02-27,Where was Nils Kalsøy Karlsen detained?
Q139639036,Johan Bergesen Hjelmeland,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,3,1943-12-20,1943-12-23,Where was Johan Bergesen Hjelmeland detained?
Q139658485,Alf Gundersen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Days,5,1940-10-02,1940-10-05,Where was Alf Gundersen detained?
Q138362264,Erling Johan Aasprong,P2632,place of detention,Q140459496,Stutthof,,A-Few-Days,4,1943-12-13,1945-04-25,Where was Erling Johan Aasprong detained?
Q139650942,Kolbjørn Karlsen,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Days,3.5,1941-11-20,1942-01-10,Where was Kolbjørn Karlsen detained?
Q139652030,Oleg Nikitin,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Few-Days,5.0,1944-07-13,1944-07-17,Where was Oleg Nikitin detained?
Q138371280,Alvik  Berrefjord,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Days,6,1943-08-06,1943-08-12,What is the place of detention of Alvik  Berrefjord?
Q138607522,Einar Henrik Larsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,2.5,1944-07-06,1944-07-07,Where was Einar Henrik Larsen detained?
Q138607587,Jakob Eiris,P2632,place of detention,Q7393493,SS Donau,,A-Few-Days,5,1942-11-26,1942-11-30,Where was Jakob Eiris detained?
Q138364440,Alvilde Bergh,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,3,1944-02-04,1944-02-05,Where was Alvilde Bergh detained?
Q138606812,Bernhard Josef Hurwitz,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3.5,1942-12-01,1942-12-01,Where was Bernhard Josef Hurwitz detained?
Q138372182,Alf Sverre Helseth,P2632,place of detention,Q140459616,Ålesund kretsfengsel,,A-Few-Days,6,1944-08-12,1944-08-17,Where was Alf Sverre Helseth detained?
Q138607464,Jacob Hurwitz,P2632,place of detention,Q7393493,SS Donau,,A-Few-Days,4,1942-11-26,1942-11-30,Where was Jacob Hurwitz detained?
Q138373805,Joachim Jahnsen,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Few-Days,5.0,1944-07-25,1944-07-27,Where was Joachim Jahnsen detained?
Q138687039,Salomon Lurje,P2632,place of detention,Q28717972,MS Gotenland,,A-Few-Days,3,1943-02-25,1943-02-27,Where was Salomon Lurje detained?
Q138359215,David Fischer,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Few-Days,5,1942-11-08,1942-11-08,Where was David Fischer detained?
Q138606961,Adolf Kraast,P2632,place of detention,Q140459443,Berg,,A-Few-Days,5,1942-10-28,1942-11-26,Where was Adolf Kraast detained?
Q138359338,Leopold Levin,P2632,place of detention,Q7393493,SS Donau,,A-Few-Days,6,1942-11-26,1942-11-30,Where was Leopold Levin detained?
Q138360978,Samuel Becker,P2632,place of detention,Q140459458,Auschwitz,,A-Few-Days,3,1943-03-03,1943-03-03,Where was Samuel Becker detained?
Q138380717,Einar Nordgård,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Few-Days,5,1941-09-10,1941-09-23,Where was Einar Nordgård detained?
Q138370055,Leif Nicolay Gravdahl Arnesen,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,6.0,1941-11-24,1941-12-11,What is the place of detention of Leif Nicolay Gravdahl Arnesen?
Q139648981,Arne Rødvand,P2632,place of detention,Q154498,Sachsenhausen concentration camp,,A-Few-Days,3.5,1943-12-12,,Where was Arne Rødvand detained?
Q138373804,Jens Olai Jahnsen,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,5.0,1944-07-29,1944-08-04,Where was Jens Olai Jahnsen detained?
Q138607068,Toni Sara Hammerschlag,P2632,place of detention,Q21899380,Synagoge Levetzowstraße,,A-Few-Days,3,1943-02-28,1943-03-02,Where was Toni Sara Hammerschlag detained?
Q138374310,Frank Storm Johansen,P2632,place of detention,Q140459441,Møllergata 19,,A-Few-Days,6,1943-12-09,1943-12-09,Where was Frank Storm Johansen detained?
Q138377182,Kåre Myhr,P2632,place of detention,Q637411,Grini detention camp,,A-Few-Days,5.0,1944-09-22,1945-05-08,What is the place of detention of Kåre Myhr?
Q138370400,Trygve Engan,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Few-Days,6.0,1944-07-29,1944-08-04,Where was Trygve Engan detained?
Q139645773,Kjell Paulsen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,,A-Week,10.0,1944-12-12,1944-12-13,Where was Kjell Paulsen detained?
Q138375627,Ivar Kvikne,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,9.0,1944-06-29,1944-07-07,Where was Ivar Kvikne detained?
Q47490013,Øystein Bottolfsen,P2632,place of detention,Q140459441,Møllergata 19,,A-Week,12.0,1941-04-03,1941-04-20,Where was Øystein Bottolfsen detained?
Q138373750,Hans Jakob Jacobsen,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10.5,1942-03-30,1942-03-31,Where was Hans Jakob Jacobsen detained?
Q138374871,Christian Keyser Kaurin,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,7,1944-05-29,1944-06-06,What is the place of detention of Christian Keyser Kaurin?
Q139642750,Christian Hille,P2632,place of detention,Q140459491,Bergen kretsfengsel,,A-Week,10.5,1943-12-15,1943-12-23,What is the place of detention of Christian Hille?
Q139637833,Gaston Gotaas,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,9.0,1944-09-14,1944-09-29,Where was Gaston Gotaas detained?
Q138378569,Signe Charlotte Markussen,P2632,place of detention,Q138390853,Tromsø kretsfengsel,,A-Week,10,1943-06-26,1943-06-29,Where was Signe Charlotte Markussen detained?
Q138366121,Svend Anker Dahl,P2632,place of detention,Q140459146,Trondheim kretsfengsel avd. C (Kongens gate 85),,A-Week,11.0,1942-11-10,1942-11-11,Where was Svend Anker Dahl detained?
Q138371214,Per Halaas,P2632,place of detention,Q637411,Grini detention camp,,A-Week,10,1941-10-03,1942-01-27,Where was Per Halaas detained?
Q138371077,Ole Gustav Haartveit,P2632,place of detention,Q637411,Grini detention camp,,A-Week,11.0,1941-09-05,1942-01-10,Where was Ole Gustav Haartveit detained?
Q5384413,equestrian at the Friendship Games,P276,location,Q2440448,Drzonków,,A-Week,8.5,1984-08-23,1984-08-26,Where was equestrian at the Friendship Games held?
Q15981159,Ivar Øiesvold,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,9.0,1944-09-14,1944-09-29,Where was Ivar Øiesvold detained?
Q138360407,René Andiguey,P2632,place of detention,Q140459661,Midtsand,,A-Week,7,1944-12-20,1945-01-08,What was the place of detention of René Andiguey?
Q138374283,Harry Kristian Johansen,P2632,place of detention,Q140458868,Bodø kretsfengsel,,A-Week,9.0,1944-09-12,1944-09-12,Where was Harry Kristian Johansen detained?
Q138368094,Leif Eliassen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,,A-Week,7.5,1943-08-27,1943-07-28,Where was Leif Eliassen detained?
Q138373230,Karl Johann Hafstad,P2632,place of detention,Q140459457,"Akershus festning, Kriegswehrmachtsgefängnis",,A-Week,7,1944-02-24,1944-02-28,Where was Karl Johann Hafstad detained?
Q139630879,Hugo Holm,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,7,1944-05-29,1944-06-06,Where was Hugo Holm detained?
Q139657097,Gunnar Gundersen,P2632,place of detention,Q140459442,Åkebergveien (Oslo kretsfengsel avd. B),,A-Week,13,1943-04-07,,Where was Gunnar Gundersen detained?
Q139629052,Ingolf Sverre Sæther,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,7.0,1943-12-20,1943-12-23,Where was Ingolf Sverre Sæther detained?
Q139638664,Paul Marius Kristiansen,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,10.0,1944-03-01,1944-03-30,What was the place of detention of Paul Marius Kristiansen?
Q138377964,Knut Øivind Nilsen,P2632,place of detention,Q140458773,Værnes,,A-Week,12.5,1944-08-08,1944-09-06,Where was Knut Øivind Nilsen detained?
Q88807636,2020 Montgomery County stay-at-home order,P582,end time,,2020-04-12T00:00:00Z,,A-Week,10.5,2020-03-27,2020-03-31,When did the 2020 Montgomery County stay-at-home order end?
Q139626623,Ola Hybertsen,P2632,place of detention,Q140458773,Værnes,,A-Week,12.0,1943-10-04,1944-09-06,Where was Ola Hybertsen detained?
Q139641618,Olaf Bernhard Dolles,P2632,place of detention,Q637411,Grini detention camp,,A-Week,13,1945-03-01,1945-05-08,Where was Olaf Bernhard Dolles detained?
Q967,Burundi,P6,head of government,Q27329764,Évariste Ndayishimiye,,A-Week,8,2020-06-18,2020-06-23,Who is the head of government of Burundi?
Q139642592,Olaf Martin Nilsen,P2632,place of detention,Q11967915,Espeland prisoner-of-war camp,,A-Week,13.5,1943-12-23,1944-01-05,Where was Olaf Martin Nilsen detained?
Q139653071,Joseph Maisonneuve,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,7,1944-12-13,1944-12-20,Where was Joseph Maisonneuve detained?
Q139639274,Henry Haagensen,P2632,place of detention,Q140459661,Midtsand,,A-Week,7.5,1944-06-22,1944-07-05,Where was Henry Haagensen detained?
Q138375466,Kristen Kristensen,P2632,place of detention,Q140458872,Arendal hjelpefengsel,,A-Week,7,1942-03-20,1942-03-23,Where was Kristen Kristensen detained?
Q139653392,Jean Descombes,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,7,1944-12-13,1944-12-20,Where was Jean Descombes detained?
Q138376686,Henry Magne Larsen,P2632,place of detention,Q11967915,Espeland prisoner-of-war camp,,A-Week,8.0,1945-02-22,1945-05-09,Where was Henry Magne Larsen detained?
Q138360142,Oluf Bakke Andersen,P2632,place of detention,Q140459447,Kristiansand,,A-Week,7.5,1944-11-27,1944-11-28,Where was Oluf Bakke Andersen detained?
Q138360720,Lyder Aune,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,11,1944-05-21,1944-05-23,Where was Lyder Aune detained?
Q138377500,Bjarne Nervik,P2632,place of detention,Q140459369,KdS Trondheim (Misjonshotellet),,A-Week,7,1944-08-05,1944-08-12,Where was Bjarne Nervik detained?
Q139625124,Ole Hylland,P2632,place of detention,Q140458874,Farsund hjelpefengsel,,A-Week,10,1944-01-12,1943-01-17,Where was Ole Hylland detained?
Q139637773,Olav Pedersen Giskeødegård,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,8.5,1944-11-28,1945-05-07,What is the place of detention of Olav Pedersen Giskeødegård?
Q139652437,Alexander Dubik,P2632,place of detention,Q140459448,Trondheim kretsfengsel avd. A (Vollan),,A-Week,12.0,1944-07-29,1944-08-10,Where was Alexander Dubik detained?
Q139653810,Ivar Thorstensen,P2632,place of detention,Q140458793,Kristiansand kretsfengsel,,A-Week,8.5,1942-09-01,1942-09-02,Where was Ivar Thorstensen detained?
Q139637806,Martin Grav,P2632,place of detention,Q2217762,Falstad concentration camp,,A-Week,11.0,1944-06-07,1944-06-22,Where was Martin Grav detained?
