pid,label,rows,expected,n_groups,n_valid,sec,status,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P8413,academic appointment,1737,1737,986,48,2.6,ok,0,0,0,0,0,0,0,42,6
P140,religion or worldview,4105,4103,3604,48,15.2,ok,0,0,0,0,0,0,0,7,41
P1532,country for sport,2532,2528,2127,46,12.2,ok,0,0,0,0,0,0,4,31,11
P2896,publication interval,579,579,296,45,2.6,ok,0,0,0,0,0,2,4,16,23
P3300,musical conductor,526,524,193,42,1.8,ok,0,0,0,0,0,0,0,25,17
P611,religious order,2137,2133,1867,42,6.1,ok,0,0,0,0,0,0,0,2,40
P945,allegiance,894,894,614,41,5.9,ok,0,0,0,0,0,0,1,18,22
P1114,quantity,511,511,166,40,2.4,ok,0,0,0,0,0,1,2,16,21
P97,noble title,12994,12985,9260,36,8.8,ok,0,0,0,0,0,0,0,9,27
P119,place of burial,5181,5181,4624,35,12.5,ok,0,0,0,0,0,0,0,0,35
P859,sponsor,66341,66339,65869,35,5.1,ok,0,0,0,0,0,0,2,26,7
P1342,number of seats,817,817,482,34,2.1,ok,0,0,0,0,0,0,0,18,16
P2317,call sign,519,517,285,33,2.8,ok,0,0,0,0,0,0,0,16,17
P559,terminus,1357,1357,584,33,5.3,ok,0,0,0,0,0,0,3,21,9
P708,diocese,1434,1434,1194,32,7.2,ok,0,0,0,0,0,0,0,4,28
P1344,participant in,2530,2530,2213,32,11.8,ok,0,0,0,0,0,10,6,14,2
P1083,maximum capacity,345,345,161,31,4.0,ok,0,0,0,0,0,1,0,9,21
P126,maintained by,2607,2607,1985,31,6.0,ok,0,0,0,0,0,0,1,9,21
P8247,nominal share capital,194,194,71,29,1.2,ok,0,0,0,0,2,3,2,17,5
P582,end time,305,305,136,29,11.2,ok,0,2,17,10,0,0,0,0,0
P1435,heritage designation,1045796,1045793,1011753,29,39.0,ok,0,0,0,0,0,0,0,6,23
P210,party chief representative,269,269,87,28,1.1,ok,0,0,0,0,0,1,4,20,3
P511,honorific prefix,1592,1592,1311,28,6.3,ok,0,0,0,0,0,0,0,5,23
P1001,applies to jurisdiction,2999,2991,1300,28,12.3,ok,0,0,0,0,0,1,0,2,25
P504,shipping port,278,276,140,27,2.1,ok,0,0,0,0,0,2,4,11,10
P505,general manager,376,376,219,27,1.9,ok,0,0,0,0,0,0,8,18,1
P12363,clerked for,1024,1024,715,27,2.0,ok,0,0,0,0,0,0,23,4,0
P607,participated in conflict,1400,1398,1134,27,11.7,ok,0,0,0,0,0,1,1,16,9
P915,filming location,502,500,220,25,6.0,ok,1,8,2,1,0,0,2,6,5
P800,notable work,1275,1275,770,24,8.2,ok,0,0,0,0,0,0,0,18,6
P38,currency,586,584,335,23,1.9,ok,0,0,0,0,0,0,0,4,19
P2046,area,896,896,673,23,11.8,ok,0,0,0,0,0,0,1,11,11
P2868,subject has role,1608,1608,997,23,9.8,ok,0,0,0,0,0,0,0,14,9
P3983,sports league level,120,120,58,22,1.2,ok,0,0,0,0,0,0,0,2,20
P742,pseudonym,835,833,471,22,8.7,ok,0,0,0,0,0,0,0,11,11
P3460,colonel-in-chief,188,188,66,21,1.5,ok,0,0,0,0,0,0,0,2,19
P1030,light characteristic,822,822,649,21,2.3,ok,0,0,0,0,0,1,0,8,12
P7938,associated electoral district,42570,42570,41080,19,15.6,ok,0,0,0,0,0,0,0,3,16
P831,parent club,212,212,102,18,1.8,ok,0,0,0,0,0,0,0,14,4
P2388,position held by head of the organization,476,476,354,18,4.6,ok,0,0,0,0,0,0,0,6,12
P1875,represented by,975,975,727,18,3.9,ok,0,0,0,0,0,0,1,13,4
P634,team captain,280,280,100,17,1.5,ok,0,0,0,0,0,0,4,13,0
P1027,conferred by,413,413,237,17,4.7,ok,0,0,0,0,0,0,0,9,8
P84,architect,761,761,510,17,9.1,ok,0,0,0,0,0,0,0,5,12
P3320,board member,4429,4419,1014,17,3.1,ok,0,0,0,0,0,0,0,9,8
P1132,number of participants,176,176,54,16,4.7,ok,0,0,0,0,0,2,3,7,4
P237,coat of arms,296,296,167,16,3.9,ok,0,0,0,0,0,0,0,0,16
P1313,office held by the head of government,208,208,133,15,5.6,ok,0,0,0,0,0,0,1,4,10
P669,located on street,788,788,553,15,7.4,ok,0,0,0,0,0,0,0,4,11
P1066,student of,1287,1287,931,15,6.1,ok,0,0,0,0,0,0,1,14,0
P272,production company,336,336,172,14,8.5,ok,0,0,0,0,0,0,0,9,5
P609,terminus location,1356,1356,578,14,3.2,ok,0,0,0,0,0,0,0,4,10
P121,item operated,1902,1888,565,14,3.4,ok,0,0,0,0,0,1,2,4,7
P641,sport,1301,1299,859,14,15.6,ok,0,0,0,0,0,0,3,6,5
P57,director,241,237,115,12,10.4,ok,0,0,0,0,0,0,3,4,5
P175,performer,285,283,151,12,9.9,ok,0,0,0,0,1,0,0,5,6
P6872,has written for,434,434,289,12,3.1,ok,0,0,0,0,0,0,2,8,2
P2283,uses,687,687,319,12,9.6,ok,0,0,0,0,0,0,0,3,9
P1110,attendance,741,741,375,12,2.6,ok,0,1,0,0,0,1,10,0,0
P1830,owner of,4217,4217,3235,12,6.2,ok,0,0,0,0,0,0,0,6,6
P2047,duration,175,173,93,11,9.1,ok,0,0,0,0,0,1,0,7,3
P2838,professional name,127,125,78,10,1.1,ok,0,0,0,0,0,0,0,5,5
P10308,director of publication,133,133,87,10,1.1,ok,0,0,0,0,0,1,1,3,5
P2124,member count,149,149,81,10,3.6,ok,0,0,0,0,0,0,1,6,3
P664,organizer,418,418,260,10,8.4,ok,0,0,0,0,0,0,1,1,8
P178,developer,409,409,266,10,6.0,ok,0,0,0,0,0,0,0,7,3
P3438,vehicle normally used,445,445,243,10,2.0,ok,0,0,0,0,0,0,1,5,4
P1327,partner in business or sport,1043,1043,804,10,5.3,ok,0,0,0,0,0,0,1,6,3
P3301,broadcast by,2047,2043,590,10,3.5,ok,0,0,0,0,0,2,0,8,0
P3342,significant person,2109,2109,1303,10,5.4,ok,0,0,0,0,0,0,1,4,5
P217,inventory number,4550,4550,3431,10,12.1,ok,0,0,0,0,0,0,0,3,7
P86,composer,131,131,68,9,8.6,ok,0,0,0,0,0,0,0,2,7
P1640,curator,162,162,69,9,1.5,ok,0,0,0,0,0,0,0,1,8
P2257,event interval,220,220,139,9,2.5,ok,0,0,0,0,0,0,0,6,3
P2109,nominal power output,209,209,147,9,2.4,ok,0,0,0,0,0,1,0,3,5
P2825,via,263,263,42,9,1.5,ok,0,4,0,1,1,3,0,0,0
P1029,crew members,582,582,253,9,2.0,ok,0,0,0,1,0,2,2,3,1
P750,distributed by,591,591,408,9,8.7,ok,0,0,0,0,0,0,0,6,3
P5995,kit supplier,95,95,52,8,1.2,ok,0,0,0,0,0,0,0,8,0
P612,mother house,109,109,67,8,1.3,ok,0,0,0,0,0,0,0,1,7
P1071,location of creation,165,165,63,8,3.6,ok,0,0,0,0,0,0,0,6,2
P2813,house publication,231,231,157,8,1.6,ok,0,0,0,0,0,0,0,3,5
P2758,CNC film rating (France),298,298,188,8,5.0,ok,0,0,0,0,0,0,1,5,2
P85,anthem,445,445,353,8,1.8,ok,0,0,0,0,0,0,0,3,5
P2505,carries thoroughfare,339,339,259,8,3.8,ok,0,0,0,0,0,0,0,0,8
P47,shares border with,4139,4138,2697,8,12.4,ok,0,0,0,0,0,0,0,2,6
P2499,league level above,94,94,50,7,1.6,ok,0,0,0,0,0,0,0,4,3
P194,legislative body,118,118,66,7,2.4,ok,0,0,0,0,0,0,0,5,2
P12452,appeals to,122,122,95,7,1.5,ok,0,0,0,0,0,0,0,0,7
P4345,director of archaeological fieldwork,182,182,95,7,1.2,ok,0,0,0,0,0,0,0,4,3
P186,made from material,257,257,154,7,9.0,ok,0,0,0,0,0,0,0,1,6
P495,country of origin,304,304,186,7,12.8,ok,0,0,0,0,0,0,0,1,6
P798,military designation,920,858,629,7,2.0,ok,0,0,0,0,0,0,0,2,5
P50,author,147,147,78,7,9.9,ok,0,0,0,0,0,0,0,3,4
P162,producer,125,125,76,6,6.9,ok,0,0,0,0,0,0,2,4,0
P122,basic form of government,124,124,62,6,1.6,ok,0,0,0,0,0,0,0,2,4
P825,dedicated to,159,159,102,6,4.5,ok,0,0,0,0,0,0,0,1,5
P837,day in year for periodic occurrence,228,228,154,6,1.8,ok,0,0,0,0,0,0,1,1,4
P725,voice actor,580,578,220,6,4.2,ok,0,0,0,0,0,0,0,3,3
P156,followed by,696,696,595,6,13.7,ok,0,0,0,0,0,0,0,2,4
P1535,used by,782,782,582,6,4.0,ok,0,0,0,0,0,0,0,1,5
P161,cast member,1104,1104,286,6,17.3,ok,0,0,0,0,0,0,1,3,2
P5607,located in the religious territorial entity,1334,1334,1261,6,4.3,ok,0,0,0,0,0,0,0,0,6
P1824,road number,3230,3230,3164,6,4.6,ok,0,0,0,0,0,0,0,2,4
P2664,units sold,25,25,11,5,1.4,ok,0,0,0,0,0,0,0,1,4
P2097,term length of position,47,47,28,5,1.3,ok,0,0,0,0,0,0,0,0,5
P3174,art director,75,75,41,5,1.3,ok,0,0,0,0,0,0,0,4,1
P1716,brand,80,80,50,5,2.3,ok,0,0,0,0,0,0,0,5,0
P8938,artistic director,103,103,61,5,1.1,ok,0,0,0,0,0,0,0,3,2
P812,academic major,235,235,164,5,2.1,ok,0,0,0,0,0,0,1,3,1
P2389,organization directed by the office or position,283,283,187,5,3.0,ok,0,0,0,0,0,0,0,1,4
P767,contributor to the creative work or subject,655,655,298,5,2.8,ok,0,0,0,0,0,0,1,2,2
P81,connecting line,2374,2374,1701,5,8.7,ok,0,0,0,0,0,0,0,0,5
P2348,time period,2711,2711,2636,5,8.0,ok,0,0,0,0,0,1,0,0,4
P355,child organization or unit,3583,3583,1827,5,5.8,ok,0,0,0,0,0,0,0,1,4
P872,printed by,43,43,22,4,1.8,ok,0,0,0,0,0,0,0,3,1
P8030,military size designation,45,45,23,4,1.2,ok,0,0,0,0,0,2,0,0,2
P1141,number of processor cores,57,57,43,4,1.8,ok,0,0,0,0,0,1,3,0,0
P1906,office held by head of state,61,61,32,4,1.2,ok,0,0,0,0,0,0,0,0,4
P1592,prosecutor,113,113,9,4,1.1,ok,0,0,0,0,0,0,0,4,0
P2500,league level below,115,115,48,4,2.6,ok,0,0,0,0,0,0,0,2,2
P263,official residence,113,113,81,4,2.2,ok,0,0,0,0,0,1,0,1,2
P2121,prize money,112,112,73,4,2.2,ok,0,0,0,0,0,0,0,2,2
P149,architectural style,146,146,105,4,5.6,ok,0,0,0,0,0,0,0,0,4
P2144,frequency,258,258,137,4,2.3,ok,0,0,0,0,0,0,1,1,2
P16,transport network,380,380,306,4,6.1,ok,0,0,0,0,0,0,0,1,3
P3919,contributed to creative work,402,400,316,4,2.7,ok,0,0,0,0,0,0,0,2,2
P2415,personal best,614,614,198,4,1.7,ok,0,0,0,0,0,0,3,1,0
P585,point in time,1556,1554,1526,4,30.9,ok,0,0,0,0,0,2,1,1,0
P579,IMA status and/or rank,2161,2161,2049,4,3.3,ok,0,0,0,0,0,0,0,2,2
P101,field of work,2600,2598,2259,4,30.0,ok,0,0,0,0,0,0,0,3,1
P803,professorship,3701,3701,3274,4,4.1,ok,0,0,0,0,0,0,0,4,0
P710,participant,4079,4079,1349,4,11.5,ok,0,0,0,0,0,1,2,1,0
P571,inception,26584,26582,26465,4,13.7,ok,0,0,0,0,0,0,0,1,3
P155,follows,538,536,364,4,13.4,ok,0,0,0,0,0,0,0,2,2
P2437,number of seasons,21,21,11,3,4.8,ok,0,0,0,0,0,1,0,0,2
P4253,number of constituencies,28,28,11,3,3.6,ok,0,0,0,0,0,0,0,1,2
P2438,narrator,32,32,16,3,1.9,ok,0,0,0,0,0,0,1,2,0
P9901,issuing agent of work,36,36,23,3,1.4,ok,0,0,0,0,0,0,0,0,3
P1387,political alignment,45,45,27,3,1.9,ok,0,0,0,0,0,0,0,0,3
P3157,event distance,53,53,29,3,2.2,ok,0,0,0,0,0,0,0,2,1
P1810,subject named as,61,61,32,3,1.3,ok,0,0,0,0,0,0,0,2,1
P2769,budget,72,72,6,3,1.5,ok,0,0,0,0,0,0,3,0,0
P3912,newspaper format,70,70,54,3,1.6,ok,0,0,0,0,0,0,0,0,3
P465,sRGB color hex triplet,85,85,59,3,2.5,ok,0,0,0,0,0,0,0,3,0
P5353,school district,96,96,75,3,1.8,ok,0,0,0,0,0,0,0,0,3
P10449,trained by,96,96,60,3,1.5,ok,0,0,0,0,0,0,1,2,0
P8138,located in the statistical territorial entity,117,117,96,3,3.9,ok,0,0,0,0,0,0,0,1,2
P8324,funder,159,159,86,3,1.7,ok,0,0,0,0,0,0,0,1,2
P2978,wheel arrangement,211,211,111,3,2.4,ok,0,0,0,0,0,0,0,1,2
P2661,target interest rate,216,216,4,3,1.4,ok,0,0,0,0,2,1,0,0,0
P1671,route number,233,233,153,3,3.1,ok,0,0,0,0,0,0,0,2,1
P802,student,345,345,239,3,5.4,ok,0,0,0,0,0,0,0,3,0
P3931,copyright holder,421,421,332,3,2.1,ok,0,0,0,0,0,0,0,2,1
P5052,supervisory board member,613,613,252,3,1.6,ok,0,0,0,0,0,0,0,2,1
P3156,Australian Classification,2928,2928,2723,3,2.9,ok,0,1,0,0,0,1,0,0,1
P528,catalog code,2407,2407,2348,3,11.9,ok,0,0,0,0,0,0,0,1,2
P2998,age of candidacy,9,9,3,2,1.1,ok,0,0,0,0,0,0,0,1,1
P3701,incarnation of,9,9,3,2,1.1,ok,0,0,0,0,0,0,0,1,1
P2095,co-driver,13,13,7,2,1.3,ok,0,0,0,0,0,0,0,2,0
P3195,league points system,13,13,5,2,1.5,ok,0,0,0,0,0,0,0,0,2
P9989,stylized name,11,11,6,2,1.8,ok,0,0,0,0,0,0,0,1,1
P2386,diameter,15,15,8,2,3.6,ok,0,0,0,0,0,0,0,0,2
P1174,visitors per year,16,16,11,2,2.5,ok,0,0,0,0,0,0,1,1,0
P2997,age of majority,15,15,8,2,1.2,ok,0,0,0,0,0,0,0,0,2
P7501,audio system,16,16,7,2,1.6,ok,0,0,0,0,0,0,0,1,1
P8001,endorsed by,16,16,10,2,1.1,ok,0,0,0,0,0,0,0,2,0
P1750,name day,19,19,12,2,1.2,ok,0,0,0,0,0,0,0,2,0
P1652,referee,21,21,4,2,2.2,ok,0,2,0,0,0,0,0,0,0
P5024,choral conductor,28,28,15,2,1.7,ok,0,0,0,0,0,0,0,1,1
P3086,speed limit,29,29,20,2,2.6,ok,0,0,0,0,0,0,0,1,1
P2067,mass,35,35,22,2,8.6,ok,0,0,0,0,0,0,0,0,2
P2196,count of students,44,44,30,2,2.4,ok,0,0,0,0,0,0,2,0,0
P282,writing system,56,56,41,2,8.5,ok,0,0,0,0,0,0,0,2,0
P4970,alternative name,62,62,47,2,1.3,ok,0,0,0,0,0,0,0,0,2
P765,surface played on,67,67,45,2,2.2,ok,0,0,0,0,0,0,0,2,0
P6794,minimum wage,69,69,6,2,1.2,ok,0,0,0,0,0,1,1,0,0
P2555,fee,84,84,38,2,1.4,ok,0,0,0,0,0,0,2,0,0
P748,appointed by,97,97,72,2,1.4,ok,0,0,0,0,0,0,0,0,2
P2284,price,101,101,50,2,1.6,ok,0,0,0,0,0,0,1,0,1
P3730,next higher rank,88,88,69,2,1.7,ok,0,0,0,0,0,0,0,1,1
P2048,height,118,118,79,2,8.8,ok,0,0,0,0,0,0,0,0,2
P840,narrative location,149,149,91,2,11.3,ok,0,0,0,0,0,0,0,2,0
P1596,penalty,191,191,134,2,1.8,ok,0,0,0,0,0,0,0,1,1
P912,has facility,254,254,181,2,2.7,ok,0,0,0,0,0,0,0,0,2
P2291,charted in,273,273,175,2,1.8,ok,0,0,1,1,0,0,0,0,0
P1064,track gauge,277,277,191,2,3.7,ok,0,0,0,0,0,0,0,1,1
P1441,present in work,347,347,269,2,6.9,ok,0,0,0,0,0,0,0,2,0
P1038,relative,589,589,418,2,7.9,ok,0,0,0,0,0,0,0,0,2
P1552,has characteristic,601,601,526,2,6.5,ok,0,0,0,0,0,0,0,1,1
P3716,social classification,602,602,564,2,3.7,ok,0,0,0,0,0,0,0,0,2
P1366,replaced by,691,691,594,2,7.2,ok,0,0,0,0,0,0,1,0,1
P2541,operating area,773,773,331,2,3.8,ok,0,0,0,0,0,0,0,0,2
P421,located in time zone,1284,1273,932,2,7.6,ok,0,0,0,0,0,0,0,2,0
P6339,reports periodicity,18157,18157,8773,2,2.5,ok,0,0,0,0,0,0,0,2,0
P1423,template has topic,3,3,1,1,2.4,ok,0,0,0,0,0,0,0,0,1
P2578,is the study of,3,3,1,1,1.5,ok,0,0,0,0,0,0,0,1,0
P5448,upper limit,3,3,1,1,1.1,ok,0,0,0,0,0,0,0,1,0
P1096,orbital eccentricity,4,4,2,1,2.6,ok,0,0,0,0,0,0,0,1,0
P1351,number of points/goals/set scored,4,4,2,1,1.7,ok,0,0,0,0,0,0,1,0,0
P8550,law identifier,4,4,2,1,1.5,ok,0,0,0,0,0,0,0,0,1
P11814,funded by grant,4,4,2,1,1.1,ok,0,0,0,0,0,0,1,0,0
P2517,category for recipients of this award,5,5,2,1,2.0,ok,0,0,0,0,0,0,0,1,0
P10661,exhibited creator,5,5,2,1,1.1,ok,0,0,0,0,0,0,1,0,0
P12168,Torino scale,6,6,3,1,1.1,ok,0,0,0,1,0,0,0,0,0
P12617,creative director,6,6,2,1,1.0,ok,0,0,0,0,0,0,0,1,0
P2045,orbital inclination,7,7,1,1,2.7,ok,0,0,0,0,0,1,0,0,0
P3001,retirement age,6,6,2,1,1.1,ok,0,0,0,0,0,0,0,1,0
P3858,route diagram template,7,7,2,1,1.8,ok,0,0,0,0,0,0,0,1,0
P4884,court,7,7,4,1,1.9,ok,0,0,0,0,0,1,0,0,0
P5869,model item,7,7,2,1,1.4,ok,0,0,0,0,0,0,0,1,0
P2572,hashtag,8,8,6,1,4.9,ok,0,0,0,0,0,0,0,1,0
P4633,name of the character role,8,8,1,1,1.8,ok,0,0,0,0,0,0,0,1,0
P424,Wikimedia language code,9,9,4,1,1.2,ok,0,0,0,0,0,0,0,1,0
P1128,employees,9,9,5,1,4.7,ok,0,0,0,0,0,0,1,0,0
P2244,periapsis,10,10,3,1,3.3,ok,0,0,0,0,0,1,0,0,0
P5822,admission rate,11,11,1,1,1.4,ok,0,0,0,0,0,1,0,0,0
P6801,number of hospital beds,11,11,7,1,1.8,ok,0,0,0,0,0,0,0,1,0
P7959,historic county,11,11,9,1,6.2,ok,0,0,0,0,0,0,0,1,0
P2596,culture,12,12,5,1,2.3,ok,0,0,0,0,0,0,0,0,1
P7153,significant place,12,12,9,1,2.3,ok,0,0,0,0,0,0,0,0,1
P501,enclave within,12,12,9,1,1.2,ok,0,0,0,0,0,0,0,0,1
P2146,orbital period,13,13,6,1,3.4,ok,0,0,0,0,0,1,0,0,0
P4353,nominated by,13,13,9,1,1.6,ok,0,0,0,0,0,0,0,0,1
P2052,speed,14,14,8,1,4.0,ok,0,0,0,0,0,0,0,0,1
P2378,issued by,13,13,9,1,1.5,ok,0,0,0,0,0,0,0,0,1
P8764,port calls,15,15,2,1,1.1,ok,0,0,0,1,0,0,0,0,0
P6437,day of regular release,14,14,8,1,1.3,ok,0,0,0,0,0,0,0,1,0
P1304,central bank,15,15,10,1,1.2,ok,0,0,0,0,0,0,0,0,1
P1594,judge,17,17,2,1,1.5,ok,0,0,0,0,0,0,0,1,0
P6885,historical region,17,17,5,1,3.3,ok,0,0,0,0,0,0,0,0,1
P7419,gender educated,17,17,11,1,1.4,ok,0,0,0,0,0,0,0,0,1
P1028,donated by,18,18,16,1,1.8,ok,0,0,0,0,0,0,0,0,1
P113,airline hub,20,20,11,1,1.5,ok,0,0,0,0,0,0,0,0,1
P1301,number of elevators,21,21,19,1,1.6,ok,0,0,0,0,0,1,0,0,0
P457,foundational text,23,23,9,1,1.5,ok,0,0,0,0,0,0,0,0,1
P2957,throughput,24,24,10,1,1.2,ok,0,0,0,0,0,0,0,0,1
P10788,in operation on service,24,24,8,1,1.1,ok,0,0,0,0,0,0,0,1,0
