pid,label,n_stmt,n_groups,n_valid,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P527,has part(s),27053,5949,82,0,2,0,1,0,10,5,18,46
P3362,operating income,1009,93,79,0,0,0,0,0,32,47,0,0
P5817,state of use,2628,2054,79,0,0,0,0,18,2,6,16,37
P532,port of registry,722,376,76,0,0,0,0,0,0,0,44,32
P797,authority,511,254,73,0,0,0,0,0,0,6,6,61
P1454,legal form,5161,4407,69,0,0,0,0,0,0,0,21,48
P92,main regulatory text,892,518,68,0,0,0,0,0,0,0,16,52
P5096,member of the crew of,597,238,66,0,0,0,0,1,29,20,16,0
P1618,sport number,4259,3561,66,0,0,0,0,0,8,26,31,1
P7779,military unit,2527,1168,62,0,0,0,0,2,6,6,43,5
P1545,series ordinal,329,122,61,0,0,0,0,0,0,17,41,3
P176,manufacturer,5036,3670,60,0,0,0,0,0,2,5,36,17
P4100,parliamentary group,1897,1042,58,0,0,0,3,0,8,21,24,2
P291,place of publication,956,509,56,0,0,0,0,0,1,5,26,24
P197,adjacent station,7940,4011,54,0,0,0,0,0,1,2,12,39
P879,pennant number,609,277,53,0,0,0,0,0,0,0,50,3
P618,source of energy,1122,809,51,0,0,0,0,0,0,0,0,51
P426,aircraft registration,857,508,50,0,0,0,0,0,5,5,32,8
P512,academic degree,3465,2738,49,0,0,0,0,0,0,1,39,9
P140,religion or worldview,4157,3644,47,0,0,0,0,0,0,0,7,40
P8413,academic appointment,1794,1017,46,0,0,0,0,0,0,0,41,5
P1532,country for sport,2544,2130,46,0,0,0,0,0,0,4,31,11
P2896,publication interval,592,299,43,0,0,0,0,0,1,4,16,22
P3300,musical conductor,526,193,42,0,0,0,0,0,0,0,25,17
P611,religious order,2142,1872,42,0,0,0,0,0,0,0,2,40
P945,allegiance,897,614,41,0,0,0,0,0,0,1,18,22
P1114,quantity,514,167,40,0,0,0,0,0,1,2,16,21
P119,place of burial,5249,4654,35,0,0,0,0,0,0,0,0,35
P1342,number of seats,825,484,34,0,0,0,0,0,0,0,18,16
P559,terminus,1375,590,33,0,0,0,0,0,1,3,20,9
P2317,call sign,530,285,32,0,0,0,0,0,0,0,15,17
P708,diocese,1447,1194,32,0,0,0,0,0,0,0,4,28
P1344,participant in,2535,2218,32,0,0,0,0,0,10,6,14,2
P97,noble title,13010,9077,32,0,0,0,0,0,0,0,8,24
P1083,maximum capacity,348,161,31,0,0,0,0,0,1,0,9,21
P8247,nominal share capital,194,71,29,0,0,0,0,2,3,2,17,5
P582,end time,310,136,29,0,2,17,10,0,0,0,0,0
P126,maintained by,2849,2120,29,0,0,0,0,0,0,0,8,21
P210,party chief representative,268,86,28,0,0,0,0,0,1,4,20,3
P511,honorific prefix,1593,1312,28,0,0,0,0,0,0,0,5,23
P1001,applies to jurisdiction,3006,1302,28,0,0,0,0,0,1,0,2,25
P504,shipping port,278,140,27,0,0,0,0,0,2,4,11,10
P505,general manager,377,219,27,0,0,0,0,0,0,8,18,1
P915,filming location,503,221,27,1,8,2,1,0,0,2,6,7
P12363,clerked for,1024,715,27,0,0,0,0,0,0,23,4,0
P607,participated in conflict,1407,1137,26,0,0,0,0,0,1,1,16,8
P800,notable work,1276,770,24,0,0,0,0,0,0,0,18,6
P38,currency,592,340,23,0,0,0,0,0,0,0,4,19
P2046,area,900,675,23,0,0,0,0,0,1,1,10,11
P2868,subject has role,1622,1009,23,0,0,0,0,0,0,0,14,9
P3983,sports league level,120,58,22,0,0,0,0,0,0,0,2,20
P3460,colonel-in-chief,188,66,21,0,0,0,0,0,0,0,2,19
P1030,light characteristic,838,659,21,0,0,0,0,0,1,0,8,12
P742,pseudonym,860,483,21,0,0,0,0,0,0,0,10,11
P2388,position held by head of the organization,477,354,19,0,0,0,0,0,0,0,7,12
P831,parent club,216,102,18,0,0,0,0,0,0,0,14,4
P1875,represented by,1012,752,18,0,0,0,0,0,0,1,13,4
P1027,conferred by,414,238,17,0,0,0,0,0,0,0,9,8
P3320,board member,4450,1019,17,0,0,0,0,0,0,0,9,8
P463,member of,50000,38242,17,0,0,0,0,0,1,0,12,4
P7938,associated electoral district,42570,40062,17,0,0,0,0,0,0,0,3,14
P634,team captain,284,103,16,0,0,0,0,0,0,3,13,0
P237,coat of arms,296,167,16,0,0,0,0,0,0,0,0,16
P84,architect,762,511,16,0,0,0,0,0,0,0,5,11
P1132,number of participants,178,54,15,0,0,0,0,0,2,2,7,4
P669,located on street,801,562,15,0,0,0,0,0,0,0,4,11
P1066,student of,1287,931,15,0,0,0,0,0,0,1,14,0
P272,production company,337,172,14,0,0,0,0,0,0,0,9,5
P609,terminus location,1366,581,14,0,0,0,0,0,0,0,4,10
P1313,office held by the head of government,209,133,13,0,0,0,0,0,0,1,4,8
P121,item operated,1931,578,13,0,0,0,0,0,1,1,4,7
P175,performer,294,154,12,0,0,0,0,1,0,0,5,6
P6872,has written for,436,291,12,0,0,0,0,0,0,2,8,2
P2283,uses,710,320,12,0,0,0,0,0,0,0,3,9
P1110,attendance,741,375,12,0,1,0,0,0,1,10,0,0
P1830,owner of,4259,3269,12,0,0,0,0,0,0,0,6,6
P2047,duration,177,94,11,0,0,0,0,0,1,0,7,3
P2838,professional name,129,78,10,0,0,0,0,0,0,0,5,5
P10308,director of publication,145,97,10,0,0,0,0,0,1,1,3,5
P2124,member count,151,82,10,0,0,0,0,0,0,1,6,3
P57,director,241,115,10,0,0,0,0,0,0,3,3,4
P664,organizer,426,263,10,0,0,0,0,0,0,1,1,8
P178,developer,434,271,10,0,0,0,0,0,0,0,7,3
P3438,vehicle normally used,446,243,10,0,0,0,0,0,0,1,5,4
P1327,partner in business or sport,1045,806,10,0,0,0,0,0,0,1,6,3
P3301,broadcast by,2045,590,10,0,0,0,0,0,2,0,8,0
P3342,significant person,2126,1317,10,0,0,0,0,0,0,1,4,5
P275,copyright license,2478,2291,10,0,0,0,0,0,1,2,6,1
P217,inventory number,4550,3431,10,0,0,0,0,0,0,0,3,7
P86,composer,131,68,9,0,0,0,0,0,0,0,2,7
P1640,curator,162,69,9,0,0,0,0,0,0,0,1,8
P2257,event interval,220,139,9,0,0,0,0,0,0,0,6,3
P2109,nominal power output,227,164,9,0,0,0,0,0,1,0,3,5
P2825,via,263,42,9,0,4,0,1,1,3,0,0,0
P1029,crew members,582,253,9,0,0,0,1,0,2,2,3,1
P750,distributed by,686,497,9,0,0,0,0,0,0,0,6,3
P859,sponsor,50000,45107,9,0,0,0,0,0,0,0,8,1
P612,mother house,109,67,8,0,0,0,0,0,0,0,1,7
P1071,location of creation,168,63,8,0,0,0,0,0,0,0,6,2
P2813,house publication,231,157,8,0,0,0,0,0,0,0,3,5
P2758,CNC film rating (France),298,188,8,0,0,0,0,0,0,1,5,2
P495,country of origin,306,186,8,0,0,0,0,0,0,0,1,7
P85,anthem,450,358,8,0,0,0,0,0,0,0,3,5
P2505,carries thoroughfare,462,374,8,0,0,0,0,0,0,0,0,8
P798,military designation,931,630,8,0,0,0,0,0,0,0,3,5
P47,shares border with,4147,2703,8,0,0,0,0,0,0,0,2,6
P2499,league level above,95,51,7,0,0,0,0,0,0,0,4,3
P5995,kit supplier,96,52,7,0,0,0,0,0,0,0,7,0
P194,legislative body,118,66,7,0,0,0,0,0,0,0,5,2
P4345,director of archaeological fieldwork,182,95,7,0,0,0,0,0,0,0,4,3
P186,made from material,259,155,7,0,0,0,0,0,0,0,1,6
P50,author,149,79,7,0,0,0,0,0,0,0,3,4
P162,producer,125,76,6,0,0,0,0,0,0,2,4,0
P122,basic form of government,127,63,6,0,0,0,0,0,0,0,2,4
P825,dedicated to,161,103,6,0,0,0,0,0,0,0,1,5
P837,day in year for periodic occurrence,228,154,6,0,0,0,0,0,0,1,1,4
P725,voice actor,583,222,6,0,0,0,0,0,0,0,3,3
P156,followed by,697,596,6,0,0,0,0,0,0,0,2,4
P1535,used by,853,608,6,0,0,0,0,0,0,0,1,5
P161,cast member,1105,287,6,0,0,0,0,0,0,1,3,2
P5607,located in the religious territorial entity,1340,1262,6,0,0,0,0,0,0,0,0,6
P1824,road number,3344,3185,6,0,0,0,0,0,0,0,2,4
P2664,units sold,43,30,5,0,0,0,0,0,0,0,1,4
P2097,term length of position,48,29,5,0,0,0,0,0,0,0,0,5
P3174,art director,75,41,5,0,0,0,0,0,0,0,4,1
P1716,brand,84,54,5,0,0,0,0,0,0,0,5,0
P8938,artistic director,103,61,5,0,0,0,0,0,0,0,3,2
P12452,appeals to,123,95,5,0,0,0,0,0,0,0,0,5
P2389,organization directed by the office or position,284,188,5,0,0,0,0,0,0,0,1,4
P767,contributor to the creative work or subject,623,266,5,0,0,0,0,0,0,1,2,2
P81,connecting line,2394,1712,5,0,0,0,0,0,0,0,0,5
P2348,time period,2710,2635,5,0,0,0,0,0,1,0,0,4
P355,child organization or unit,3637,1849,5,0,0,0,0,0,0,0,1,4
P872,printed by,43,22,4,0,0,0,0,0,0,0,3,1
P8030,military size designation,45,23,4,0,0,0,0,0,2,0,0,2
P1141,number of processor cores,57,43,4,0,0,0,0,0,1,3,0,0
P1906,office held by head of state,61,32,4,0,0,0,0,0,0,0,0,4
P1592,prosecutor,113,9,4,0,0,0,0,0,0,0,4,0
P2500,league level below,116,49,4,0,0,0,0,0,0,0,2,2
P263,official residence,117,82,4,0,0,0,0,0,1,0,1,2
P2121,prize money,122,81,4,0,0,0,0,0,0,0,2,2
P149,architectural style,146,105,4,0,0,0,0,0,0,0,0,4
P812,academic major,235,164,4,0,0,0,0,0,0,1,2,1
P2144,frequency,259,138,4,0,0,0,0,0,0,1,1,2
P16,transport network,386,306,4,0,0,0,0,0,0,0,1,3
P3919,contributed to creative work,403,316,4,0,0,0,0,0,0,0,2,2
P2415,personal best,615,198,4,0,0,0,0,0,0,3,1,0
P579,IMA status and/or rank,2161,2049,4,0,0,0,0,0,0,0,2,2
P101,field of work,2609,2267,4,0,0,0,0,0,0,0,3,1
P803,professorship,3752,3307,4,0,0,0,0,0,0,0,4,0
P155,follows,540,365,4,0,0,0,0,0,0,0,2,2
P4253,number of constituencies,28,11,3,0,0,0,0,0,0,0,1,2
P2438,narrator,32,16,3,0,0,0,0,0,0,1,2,0
P9901,issuing agent of work,36,23,3,0,0,0,0,0,0,0,0,3
P1387,political alignment,46,28,3,0,0,0,0,0,0,0,0,3
P3157,event distance,59,32,3,0,0,0,0,0,0,0,2,1
P1810,subject named as,61,32,3,0,0,0,0,0,0,0,2,1
P2769,budget,72,6,3,0,0,0,0,0,0,3,0,0
P3912,newspaper format,72,54,3,0,0,0,0,0,0,0,0,3
P465,sRGB color hex triplet,85,59,3,0,0,0,0,0,0,0,3,0
P5353,school district,96,75,3,0,0,0,0,0,0,0,0,3
P10449,trained by,103,64,3,0,0,0,0,0,0,1,2,0
P8138,located in the statistical territorial entity,118,96,3,0,0,0,0,0,0,0,1,2
P8324,funder,159,85,3,0,0,0,0,0,0,0,1,2
P2978,wheel arrangement,211,111,3,0,0,0,0,0,0,0,1,2
P2661,target interest rate,216,4,3,0,0,0,0,2,1,0,0,0
P1671,route number,260,156,3,0,0,0,0,0,0,0,2,1
P2291,charted in,275,176,3,0,0,1,1,1,0,0,0,0
P802,student,346,240,3,0,0,0,0,0,0,0,3,0
P3931,copyright holder,424,335,3,0,0,0,0,0,0,0,2,1
P5052,supervisory board member,616,254,3,0,0,0,0,0,0,0,2,1
P585,point in time,1556,1526,3,0,0,0,0,0,2,0,1,0
P3156,Australian Classification,2953,2736,3,0,1,0,0,0,1,0,0,1
P710,participant,4080,1350,3,0,0,0,0,0,0,2,1,0
P9989,stylized name,14,8,2,0,0,0,0,0,0,0,1,1
P2386,diameter,15,8,2,0,0,0,0,0,0,0,0,2
P2997,age of majority,16,8,2,0,0,0,0,0,0,0,0,2
P1652,referee,21,4,2,0,2,0,0,0,0,0,0,0
P5024,choral conductor,28,15,2,0,0,0,0,0,0,0,1,1
P3086,speed limit,29,20,2,0,0,0,0,0,0,0,1,1
P2067,mass,35,22,2,0,0,0,0,0,0,0,0,2
P2196,count of students,44,30,2,0,0,0,0,0,0,2,0,0
P282,writing system,56,41,2,0,0,0,0,0,0,0,2,0
P4970,alternative name,62,47,2,0,0,0,0,0,0,0,0,2
P765,surface played on,69,45,2,0,0,0,0,0,0,0,2,0
P6794,minimum wage,69,6,2,0,0,0,0,0,1,1,0,0
P2555,fee,84,38,2,0,0,0,0,0,0,2,0,0
P748,appointed by,97,72,2,0,0,0,0,0,0,0,0,2
P2284,price,108,53,2,0,0,0,0,0,0,1,0,1
P3730,next higher rank,100,69,2,0,0,0,0,0,0,0,1,1
P2048,height,119,79,2,0,0,0,0,0,0,0,0,2
P840,narrative location,148,90,2,0,0,0,0,0,0,0,2,0
P1596,penalty,192,135,2,0,0,0,0,0,0,0,1,1
P912,has facility,257,184,2,0,0,0,0,0,0,0,0,2
P1064,track gauge,279,193,2,0,0,0,0,0,0,0,1,1
P1441,present in work,347,269,2,0,0,0,0,0,0,0,2,0
P1038,relative,589,418,2,0,0,0,0,0,0,0,0,2
P1552,has characteristic,607,531,2,0,0,0,0,0,0,0,1,1
P3716,social classification,607,569,2,0,0,0,0,0,0,0,0,2
P1366,replaced by,692,595,2,0,0,0,0,0,0,1,0,1
P2541,operating area,784,335,2,0,0,0,0,0,0,0,0,2
P421,located in time zone,1285,932,2,0,0,0,0,0,0,0,2,0
P6339,reports periodicity,18157,8586,2,0,0,0,0,0,0,0,2,0
P195,collection,50000,46497,2,0,0,0,0,0,0,0,0,2
P571,inception,26250,25600,2,0,0,0,0,0,0,0,0,2
P2578,is the study of,3,1,1,0,0,0,0,0,0,0,1,0
P5448,upper limit,3,1,1,0,0,0,0,0,0,0,1,0
P11814,funded by grant,4,2,1,0,0,0,0,0,0,1,0,0
P10661,exhibited creator,5,2,1,0,0,0,0,0,0,1,0,0
P12168,Torino scale,6,3,1,0,0,0,1,0,0,0,0,0
P12617,creative director,6,2,1,0,0,0,0,0,0,0,1,0
P424,Wikimedia language code,9,4,1,0,0,0,0,0,0,0,1,0
P6801,number of hospital beds,11,7,1,0,0,0,0,0,0,0,1,0
P7959,historic county,11,9,1,0,0,0,0,0,0,0,1,0
P501,enclave within,12,9,1,0,0,0,0,0,0,0,0,1
P2052,speed,14,8,1,0,0,0,0,0,0,0,0,1
P8764,port calls,15,2,1,0,0,0,1,0,0,0,0,0
P7419,gender educated,17,11,1,0,0,0,0,0,0,0,0,1
P113,airline hub,20,11,1,0,0,0,0,0,0,0,0,1
P7604,supervised by,27,21,1,0,0,0,0,0,0,0,1,0
P415,radio format,28,14,1,0,0,0,0,0,0,0,1,0
P1408,licensed to broadcast to,28,16,1,0,0,0,0,0,0,0,1,0
P2184,history of topic,29,14,1,0,0,0,0,0,0,0,0,1
P208,executive body,31,18,1,0,0,0,0,0,1,0,0,0
P6275,copyright representative,33,26,1,0,0,0,0,0,0,0,0,1
P3970,channel number,35,25,1,0,0,0,0,0,0,0,0,1
P1431,executive producer,37,20,1,0,0,0,0,0,0,0,1,0
P2061,aspect ratio (W:H),37,23,1,0,0,0,0,0,0,0,1,0
P2791,power consumed,38,33,1,0,0,0,0,0,0,1,0,0
P110,illustrator,42,23,1,0,0,0,0,0,0,0,1,0
P7169,substitute director/manager,43,17,1,0,0,0,0,0,0,0,1,0
P3085,qualifies for event,44,19,1,0,0,0,0,0,0,0,0,1
P4565,electoral district number,48,41,1,0,0,0,0,0,0,0,1,0
P1346,winner,48,18,1,0,0,0,0,0,0,0,0,1
P4224,category contains,49,40,1,0,0,0,0,0,0,0,0,1
P3091,mount,50,26,1,0,0,0,0,0,0,0,1,0
P7374,educational stage,53,50,1,0,0,0,0,0,0,0,1,0
P706,located in/on physical feature,55,43,1,0,0,0,0,0,0,0,0,1
P289,vessel class,60,46,1,0,0,0,0,0,0,0,1,0
P163,flag,58,39,1,0,0,0,0,0,0,0,0,1
P144,based on,66,45,1,0,0,0,0,0,0,0,1,0
P460,said to be the same as,67,51,1,0,0,0,0,0,0,0,1,0
P1101,floors above ground,71,46,1,0,0,0,0,0,0,0,1,0
P1444,destination point,71,66,1,0,0,0,0,0,0,1,0,0
P417,patron saint,75,60,1,0,0,0,0,0,0,0,0,1
P2828,corporate officer,97,61,1,0,0,0,0,0,0,0,0,1
P12484,competition judge,97,10,1,0,0,0,0,0,0,0,0,1
P3729,next lower rank,100,73,1,0,0,0,0,0,0,0,0,1
P9597,type of lens,103,83,1,0,0,0,0,0,0,0,0,1
P7888,merged into,111,108,1,0,0,0,0,0,0,0,1,0
P287,designed by,115,92,1,0,0,0,0,0,0,0,0,1
P37,official language,119,64,1,0,0,0,0,0,0,0,0,1
P8289,parish church(es),123,57,1,0,0,0,0,0,0,0,1,0
P1343,described by source,130,94,1,0,0,0,0,0,0,0,1,0
P462,color,133,78,1,0,0,0,0,0,0,0,1,0
P12439,civil rank,134,90,1,0,0,0,0,0,0,0,1,0
P413,position played on team / speciality,153,146,1,0,0,0,0,0,0,0,0,1
P547,commemorates,166,99,1,0,0,0,0,0,0,0,0,1
P199,organizational division,214,98,1,0,0,0,0,0,0,1,0,0
P3448,stepparent,218,167,1,0,0,0,0,0,0,0,0,1
P930,type of electrification,268,226,1,0,0,0,0,0,0,0,0,1
P795,located on linear feature,326,279,1,0,0,0,0,0,0,0,0,1
P1056,product or material produced,401,211,1,0,0,0,0,0,0,0,1,0
P516,powered by,466,233,1,0,0,0,0,0,0,0,1,0
P921,main subject,473,403,1,0,0,0,0,0,0,1,0,0
P1103,number of platform tracks,518,478,1,0,0,0,0,0,0,0,1,0
P2929,lighthouse range,564,251,1,0,0,0,0,0,0,0,0,1
P10611,has certification,639,615,1,0,0,0,0,0,0,0,1,0
P296,station code,1287,687,1,0,0,0,0,0,0,0,1,0
P1050,medical condition,1447,1367,1,0,0,0,0,0,0,0,1,0
P414,stock exchange,9770,9278,1,0,0,0,0,0,0,1,0,0
P27,country of citizenship,3750,3665,1,0,0,0,0,0,0,0,0,1
P215,spectral class,0,0,0,0,0,0,0,0,0,0,0,0
P233,canonical SMILES,0,0,0,0,0,0,0,0,0,0,0,0
P469,lake on watercourse,0,0,0,0,0,0,0,0,0,0,0,0
P490,provisional designation,0,0,0,0,0,0,0,0,0,0,0,0
P684,ortholog,0,0,0,0,0,0,0,0,0,0,0,0
P703,found in taxon,0,0,0,0,0,0,0,0,0,0,0,0
P847,United States Navy aircraft designation,0,0,0,0,0,0,0,0,0,0,0,0
P898,IPA transcription,0,0,0,0,0,0,0,0,0,0,0,0
P1032,digital rights management system,0,0,0,0,0,0,0,0,0,0,0,0
P1090,redshift,0,0,0,0,0,0,0,0,0,0,0,0
P1195,file extension,0,0,0,0,0,0,0,0,0,0,0,0
P1358,points for,0,0,0,0,0,0,0,0,0,0,0,0
P1534,end cause,0,0,0,0,0,0,0,0,0,0,0,0
P1833,number of registered users/contributors,0,0,0,0,0,0,0,0,0,0,0,0
P2361,online service,0,0,0,0,0,0,0,0,0,0,0,0
P2440,transliteration or transcription,0,0,0,0,0,0,0,0,0,0,0,0
P2560,GPU,0,0,0,0,0,0,0,0,0,0,0,0
P2669,discontinuation date,0,0,0,0,0,0,0,0,0,0,0,0
P2681,is recto of,0,0,0,0,0,0,0,0,0,0,0,0
P3041,luminous intensity,0,0,0,0,0,0,0,0,0,0,0,0
P3067,GS1 country code,0,0,0,0,0,0,0,0,0,0,0,0
P3303,third-party formatter URL,0,0,0,0,0,0,0,0,0,0,0,0
P4241,refine date,0,0,0,0,0,0,0,0,0,0,0,0
P4506,Formal Public Identifier,0,0,0,0,0,0,0,0,0,0,0,0
P4552,mountain range,0,0,0,0,0,0,0,0,0,0,0,0
P4602,date of burial or cremation,0,0,0,0,0,0,0,0,0,0,0,0
P4810,reads environment variable,0,0,0,0,0,0,0,0,0,0,0,0
P4825,deductions (in figure skating),0,0,0,0,0,0,0,0,0,0,0,0
P4934,calculated from,0,0,0,0,0,0,0,0,0,0,0,0
P5204,commercialization date,0,0,0,0,0,0,0,0,0,0,0,0
P5279,hyphenation,0,0,0,0,0,0,0,0,0,0,0,0
P5422,has pattern,0,0,0,0,0,0,0,0,0,0,0,0
P6001,applies to people,0,0,0,0,0,0,0,0,0,0,0,0
P6112,category for members of a team,0,0,0,0,0,0,0,0,0,0,0,0
P6793,WMI code,0,0,0,0,0,0,0,0,0,0,0,0
P6879,effective temperature,0,0,0,0,0,0,0,0,0,0,0,0
P7376,worn by,0,0,0,0,0,0,0,0,0,0,0,0
P7588,effective date,0,0,0,0,0,0,0,0,0,0,0,0
P9998,excitation energy,0,0,0,0,0,0,0,0,0,0,0,0
P10648,podium finishes,0,0,0,0,0,0,0,0,0,0,0,0
P10680,franchisor,0,0,0,0,0,0,0,0,0,0,0,0
P10786,date of incorporation,0,0,0,0,0,0,0,0,0,0,0,0
P11747,holds diplomatic passport of,0,0,0,0,0,0,0,0,0,0,0,0
P12020,state of transmission,0,0,0,0,0,0,0,0,0,0,0,0
P12476,filial church,0,0,0,0,0,0,0,0,0,0,0,0
P129,physically interacts with,1,1,0,0,0,0,0,0,0,0,0,0
P183,endemic to,1,1,0,0,0,0,0,0,0,0,0,0
P205,basin country,1,1,0,0,0,0,0,0,0,0,0,0
P433,issue,1,1,0,0,0,0,0,0,0,0,0,0
P479,input device,1,1,0,0,0,0,0,0,0,0,0,0
P548,version type,1,1,0,0,0,0,0,0,0,0,0,0
P629,"version, edition or translation of",1,1,0,0,0,0,0,0,0,0,0,0
P658,tracklist,1,1,0,0,0,0,0,0,0,0,0,0
P739,ammunition,1,1,0,0,0,0,0,0,0,0,0,0
P746,date of disappearance,1,1,0,0,0,0,0,0,0,0,0,0
P826,tonality,1,1,0,0,0,0,0,0,0,0,0,0
P910,topic's main category,1,1,0,0,0,0,0,0,0,0,0,0
P913,notation,1,1,0,0,0,0,0,0,0,0,0,0
P935,Commons gallery,1,1,0,0,0,0,0,0,0,0,0,0
P1012,including,1,1,0,0,0,0,0,0,0,0,0,0
P1026,academic thesis,1,1,0,0,0,0,0,0,0,0,0,0
P1040,film editor,1,1,0,0,0,0,0,0,0,0,0,0
P1049,worshipped by,1,1,0,0,0,0,0,0,0,0,0,0
P1196,manner of death,1,1,0,0,0,0,0,0,0,0,0,0
P1198,unemployment rate,1,1,0,0,0,0,0,0,0,0,0,0
P1355,number of wins,1,1,0,0,0,0,0,0,0,0,0,0
P1446,number of missing,1,1,0,0,0,0,0,0,0,0,0,0
P1455,list of works,1,1,0,0,0,0,0,0,0,0,0,0
P1465,category for people who died here,1,1,0,0,0,0,0,0,0,0,0,0
P1471,reporting mark,1,1,0,0,0,0,0,0,0,0,0,0
P1589,lowest point,1,1,0,0,0,0,0,0,0,0,0,0
P1590,number of casualties,1,1,0,0,0,0,0,0,0,0,0,0
P1598,consecrator,1,1,0,0,0,0,0,0,0,0,0,0
P1612,Commons Institution page,1,1,0,0,0,0,0,0,0,0,0,0
P1642,acquisition transaction,1,1,0,0,0,0,0,0,0,0,0,0
P1654,wing configuration,1,1,0,0,0,0,0,0,0,0,0,0
P1660,has index case,1,1,0,0,0,0,0,0,0,0,0,0
P1753,list related to category,1,1,0,0,0,0,0,0,0,0,0,0
P1775,follower of,1,1,0,0,0,0,0,0,0,0,0,0
P1809,choreographer,1,1,0,0,0,0,0,0,0,0,0,0
P1945,street key,1,1,0,0,0,0,0,0,0,0,0,0
